family,provider,asset,domain,pathway,temporal_kind,canonical_unit,licence,status,notes
wsf,DLR,DLR/WSF/WSF2015/v1,Built environment,Settlement footprint -> urbanicity,fixed_epoch,index,Free for research,active,2015 single epoch for all countries.
ccnl,BNU,BNU/FGS/CCNL/v1,Built environment,Night-time lights -> economic activity and electrification,fixed_epoch,DN,Academic,active,2013 for all countries. Highly skewed; consider log1p downstream.
globalhumanmodification,CSP,CSP/HM/GlobalHumanModification,Built environment,Cumulative human modification of terrestrial systems,fixed_epoch,index 0-1,CC BY 4.0,active,2016 single epoch for all countries.
accessibility,Oxford MAP,Oxford/MAP/accessibility_to_healthcare_2019,Access,Travel time to healthcare -> service utilisation and supplementation,epoch,minutes,Academic (attribution),active,EPOCH MISMATCH: Tanzania 2015 vs 2019 elsewhere.
elevation,USGS,USGS/SRTMGL1_003,Terrain,Elevation -> agro-ecological zone and malaria transmission,static,m,Public domain,active,SRTM 30 m; genuinely large between-country differences are real geography not a unit defect.
landcoverlayers,Copernicus,COPERNICUS/Landcover/100m/Proba-V-C3/Global,Land cover,Cover composition -> cropping systems and diet,annual_series,percent cover,CC BY 4.0,active,Only the *_coverfraction bands are retained; classification codes and QC bands dropped.
landcovertype,NASA MODIS,MODIS/061/MCD12Q1,Land cover,Land-cover class,annual_series,class code,Public domain,dropped,Zonal MEAN of categorical class codes is meaningless. Reinstate as per-class area fractions.
esa_worldcereal,ESA,ESA/WorldCereal/2021/MARKERS/v100,Cropping,Active cropland by crop type -> staple availability,fixed_epoch,class code,CC BY 4.0,dropped,Band is masked outside cropland so a zonal mean returns the class code not a cropland fraction; tile ids are country-specific. Reinstate via an unmasked fraction computation.
gpw_grasslands,Global Pasture Watch,projects/global-pasture-watch/assets/ggc-30m/v1/grassland_c,Land cover,Grassland extent -> livestock and animal-source foods,epoch,fraction,CC BY 4.0,partial,Absent for Tanzania in the current build.
gpw_demographic,CIESIN,CIESIN/GPWv411/GPW_Basic_Demographic_Characteristics,Population,Age-sex structure,fixed_epoch,persons,CC BY 4.0,dropped,Exported only as a mean/sd collapse over 77 age-sex count bins; not a rate and not commensurable.
soil,ISDA,ISDASOIL/Africa/v1/*,Soil chemistry,Soil nutrient status -> crop nutrient density -> human micronutrient intake,static,per property,CC BY 4.0,active,Eleven properties. Depth means retained; cross-band _annual_* summaries dropped because they average location and dispersion together.
soilgrids,ISRIC,SoilGrids v2 (cloud-optimised GeoTIFF),Soil chemistry,Soil texture and fertility -> crop nutrient density -> human micronutrient intake,static,per property,CC BY 4.0,active,0-5 cm depth means. Distinct from the iSDAsoil gee_soil* block; both are retained because they disagree in places and neither is a gold standard.
mapspam,IFPRI / MapSPAM,MapSPAM 2010 v2 crop allocation,Cropping,Crop mix -> staple composition of the local diet,fixed_epoch,tonnes (prod) / fraction (share) / ha (parea),CC BY 4.0,active,Production is an ABSOLUTE count so it scales with district size; prefer the spam_share_* variables for cross-country comparison.
dhs,DHS Program,DHS admin-2 indicator aggregates (surveyPrev),Health services and demography,Service coverage and household conditions -> nutrition and infection burden,survey_round,proportion,DHS Program terms (registration required),active,Survey-year prefixes are stripped by rule 60 so the same indicator matches across countries. CAUTION: these are survey-derived - check the shared-survey leakage criterion before using one whose survey round overlaps the biomarker outcome.
espen,WHO ESPEN,ESPEN portal admin-2 survey aggregates,Infection,Helminth and schistosome infection -> gut loss and anaemia,survey_round,prevalence,WHO ESPEN terms,partial,Portal download is manual; no file is present in the current build so no ESPEN column ships.
