bin,n,mean_pred,mean_obs,n_events,bin_idx,country,outcome
"(0.0419,0.0515]",79,0.045259991686340637,0.10126582278481013,8,5,Malawi,women_b12
"(0.0515,0.0611]",36,0.05739867316333216,0.08333333333333333,3,6,Malawi,women_b12
"(0.0611,0.0707]",40,0.06589360530530837,0.1,4,7,Malawi,women_b12
"(0.0707,0.0803]",30,0.07562283098697957,0.06666666666666667,2,8,Malawi,women_b12
"(0.0803,0.0898]",42,0.08491110472155931,0.023809523809523808,1,9,Malawi,women_b12
"(0.0898,0.0995]",16,0.09715073444046186,0,0,10,Malawi,women_b12
"[0.57,0.573]",210,0.5701254275940707,0.6523809523809524,137,1,Malawi,child_zinc
"(0.573,0.576]",0,NA,NA,NA,2,Malawi,child_zinc
"(0.576,0.579]",206,0.5788876276958003,0.616504854368932,127,3,Malawi,child_zinc
"(0.579,0.582]",0,NA,NA,NA,4,Malawi,child_zinc
"(0.582,0.585]",231,0.5829439252336449,0.5974025974025974,138,5,Malawi,child_zinc
"(0.585,0.588]",0,NA,NA,NA,6,Malawi,child_zinc
"(0.588,0.591]",0,NA,NA,NA,7,Malawi,child_zinc
"(0.591,0.594]",0,NA,NA,NA,8,Malawi,child_zinc
"(0.594,0.597]",0,NA,NA,NA,9,Malawi,child_zinc
"(0.597,0.6]",440,0.5992562600592267,0.5340909090909091,235,10,Malawi,child_zinc
"[0.251,0.318]",17,0.2827774894594549,0.5882352941176471,10,1,Malawi,women_zinc
"(0.318,0.384]",25,0.351121593904969,0.6,15,2,Malawi,women_zinc
"(0.384,0.451]",36,0.421349029947006,0.6388888888888888,23,3,Malawi,women_zinc
"(0.451,0.518]",88,0.49317955922735884,0.6363636363636364,56,4,Malawi,women_zinc
"(0.518,0.584]",123,0.5589385465945723,0.5528455284552846,68,5,Malawi,women_zinc
"(0.584,0.651]",118,0.6158082802229415,0.652542372881356,77,6,Malawi,women_zinc
"(0.651,0.717]",166,0.6889134182919946,0.6144578313253012,102,7,Malawi,women_zinc
"(0.717,0.784]",117,0.7499294661811653,0.6153846153846154,72,8,Malawi,women_zinc
"(0.784,0.85]",100,0.7994121674326412,0.64,64,9,Malawi,women_zinc
"(0.85,0.918]",24,0.8863942324951346,0.7083333333333334,17,10,Malawi,women_zinc
