country,outcome,Admin1,Admin2,fold
Gambia,child_iron,Western,Foni Brefet,Gambia
Gambia,child_iron,Upper River,Fulladu East,Gambia
Gambia,child_iron,Maccarthy Island,Fulladu West,Gambia
Gambia,child_iron,Lower River,Jarra East,Gambia
Gambia,child_iron,Lower River,Jarra West,Gambia
Gambia,child_iron,North Bank,Jokadu,Gambia
Gambia,child_iron,Banjul,Kanifing,Gambia
Gambia,child_iron,Upper River,Kantora,Gambia
Gambia,child_iron,Lower River,Kiang Central,Gambia
Gambia,child_iron,Lower River,Kiang East,Gambia
Gambia,child_iron,Western,Kombo Central,Gambia
Gambia,child_iron,Western,Kombo East,Gambia
Gambia,child_iron,Western,Kombo Saint Mary,Gambia
Gambia,child_iron,Western,Kombo South,Gambia
Gambia,child_iron,North Bank,Lower Baddibu,Gambia
Gambia,child_iron,North Bank,Lower Nuimi,Gambia
Gambia,child_iron,Maccarthy Island,Lower Saloum,Gambia
Gambia,child_iron,Maccarthy Island,Niamina Dankunku,Gambia
Gambia,child_iron,Maccarthy Island,Niamina East,Gambia
Gambia,child_iron,Maccarthy Island,Niani,Gambia
Gambia,child_iron,Maccarthy Island,Nianija,Gambia
Gambia,child_iron,Maccarthy Island,Sami,Gambia
Gambia,child_iron,Upper River,Sandu,Gambia
Gambia,child_iron,North Bank,Upper Baddibu,Gambia
Gambia,child_iron,North Bank,Upper Nuimi,Gambia
Gambia,child_iron,Maccarthy Island,Upper Saloum,Gambia
Gambia,child_iron,Upper River,Wuli,Gambia
Gambia,women_iron,Banjul,Banjul,Gambia
Gambia,women_iron,North Bank,Central Baddibu,Gambia
Gambia,women_iron,Western,Foni Bintang Karanai,Gambia
Gambia,women_iron,Western,Foni Brefet,Gambia
Gambia,women_iron,Upper River,Fulladu East,Gambia
Gambia,women_iron,Maccarthy Island,Fulladu West,Gambia
Gambia,women_iron,Lower River,Jarra East,Gambia
Gambia,women_iron,Lower River,Jarra West,Gambia
Gambia,women_iron,North Bank,Jokadu,Gambia
Gambia,women_iron,Banjul,Kanifing,Gambia
Gambia,women_iron,Upper River,Kantora,Gambia
Gambia,women_iron,Lower River,Kiang Central,Gambia
Gambia,women_iron,Lower River,Kiang East,Gambia
Gambia,women_iron,Western,Kombo Central,Gambia
Gambia,women_iron,Western,Kombo East,Gambia
Gambia,women_iron,Western,Kombo Saint Mary,Gambia
Gambia,women_iron,Western,Kombo South,Gambia
Gambia,women_iron,North Bank,Lower Baddibu,Gambia
Gambia,women_iron,North Bank,Lower Nuimi,Gambia
Gambia,women_iron,Maccarthy Island,Lower Saloum,Gambia
Gambia,women_iron,Maccarthy Island,Niamina Dankunku,Gambia
Gambia,women_iron,Maccarthy Island,Niamina East,Gambia
Gambia,women_iron,Maccarthy Island,Niani,Gambia
Gambia,women_iron,Maccarthy Island,Nianija,Gambia
Gambia,women_iron,Maccarthy Island,Sami,Gambia
Gambia,women_iron,Upper River,Sandu,Gambia
Gambia,women_iron,North Bank,Upper Baddibu,Gambia
Gambia,women_iron,North Bank,Upper Nuimi,Gambia
Gambia,women_iron,Maccarthy Island,Upper Saloum,Gambia
Gambia,women_iron,Upper River,Wuli,Gambia
Ghana,child_vitA,Greater Accra,Ablekuma Central,Ghana
Ghana,child_vitA,Greater Accra,Ablekuma North,Ghana
Ghana,child_vitA,Eastern,Abuakwa South,Ghana
Ghana,child_vitA,Ashanti,Adansi Asokwa,Ghana
Ghana,child_vitA,Volta,Afadzato South,Ghana
Ghana,child_vitA,Central,Agona West,Ghana
Ghana,child_vitA,Volta,Akatsi South,Ghana
Ghana,child_vitA,Eastern,Akwapem North,Ghana
Ghana,child_vitA,Ashanti,Asante-Akim South,Ghana
Ghana,child_vitA,Greater Accra,Ashaiman,Ghana
Ghana,child_vitA,Central,Asikuma-Odoben-Brakwa,Ghana
Ghana,child_vitA,Ashanti,Asokore-Mampong,Ghana
Ghana,child_vitA,Ashanti,Asokwa,Ghana
Ghana,child_vitA,Ahafo,Asunafo North,Ghana
Ghana,child_vitA,Eastern,Atiwa East,Ghana
Ghana,child_vitA,Ashanti,Atwima-Mponua,Ghana
Ghana,child_vitA,Ashanti,Atwima-Nwabiagya South,Ghana
Ghana,child_vitA,Central,Awutu Senya West,Ghana
Ghana,child_vitA,Greater Accra,Ayawaso West,Ghana
Ghana,child_vitA,Upper East,Bawku West,Ghana
Ghana,child_vitA,Ashanti,Bekwai,Ghana
Ghana,child_vitA,Upper East,Binduri,Ghana
Ghana,child_vitA,Savannah,Bole,Ghana
Ghana,child_vitA,Upper East,Builsa South,Ghana
Ghana,child_vitA,Savannah,Central Gonja,Ghana
Ghana,child_vitA,North East,Chereponi,Ghana
Ghana,child_vitA,Eastern,Denkyembour,Ghana
Ghana,child_vitA,Bono,Dormaa West,Ghana
Ghana,child_vitA,Western,Effia Kwesimintsim,Ghana
Ghana,child_vitA,Western,Ellembelle,Ghana
Ghana,child_vitA,Greater Accra,Ga East,Ghana
Ghana,child_vitA,Northern,Gushegu,Ghana
Ghana,child_vitA,Volta,Ho Municipal,Ghana
Ghana,child_vitA,Upper West,Jirapa,Ghana
Ghana,child_vitA,Western,Jomoro,Ghana
Ghana,child_vitA,Upper East,Kasena Nankana East,Ghana
Ghana,child_vitA,Bono East,Kintampo North,Ghana
Ghana,child_vitA,Northern,Kpandai,Ghana
Ghana,child_vitA,Ashanti,Kumasi,Ghana
Ghana,child_vitA,Ashanti,Kwadaso,Ghana
Ghana,child_vitA,Eastern,Kwahu Afram Plains North,Ghana
Ghana,child_vitA,Greater Accra,La-Dade-Kotopon,Ghana
Ghana,child_vitA,Upper West,Lambussie-Karni,Ghana
Ghana,child_vitA,Central,Mfantseman,Ghana
Ghana,child_vitA,Western,Mpohor,Ghana
Ghana,child_vitA,Northern,Nanumba South,Ghana
Ghana,child_vitA,Oti,Nkwanta South,Ghana
Ghana,child_vitA,Savannah,North East Gonja,Ghana
Ghana,child_vitA,Ashanti,Obuasi,Ghana
Ghana,child_vitA,Western,Prestea-Huni Valley,Ghana
Ghana,child_vitA,Northern,Sagnerigu,Ghana
Ghana,child_vitA,Northern,Savelugu,Ghana
Ghana,child_vitA,Savannah,Sawla-Tuna-Kalba,Ghana
Ghana,child_vitA,Western North,Sefwi-Akontombra,Ghana
Ghana,child_vitA,Ashanti,Sekyere Kumawu,Ghana
Ghana,child_vitA,Ashanti,Sekyere South,Ghana
Ghana,child_vitA,Bono East,Sene West,Ghana
Ghana,child_vitA,Upper West,Sissala East,Ghana
Ghana,child_vitA,Volta,South Tongu,Ghana
Ghana,child_vitA,Bono,Sunyani West,Ghana
Ghana,child_vitA,Upper East,Talensi,Ghana
Ghana,child_vitA,Northern,Tamale,Ghana
Ghana,child_vitA,Ahafo,Tano North,Ghana
Ghana,child_vitA,Northern,Tatale Sanguli,Ghana
Ghana,child_vitA,Bono East,Techiman,Ghana
Ghana,child_vitA,Greater Accra,Tema West,Ghana
Ghana,child_vitA,Northern,Tolon,Ghana
Ghana,child_vitA,Central,Twifo-Atti-Morkwa,Ghana
Ghana,child_vitA,Central,Twifo-Hemang-Lower Denkyira,Ghana
Ghana,child_vitA,Upper West,Wa East,Ghana
Ghana,child_vitA,Upper West,Wa Municipal,Ghana
Ghana,child_vitA,Greater Accra,Weija Gbawe,Ghana
Ghana,child_vitA,Bono,Wenchi,Ghana
Ghana,child_vitA,North East,West Mamprusi,Ghana
Ghana,child_vitA,North East,Yunyoo-Nasuan,Ghana
Ghana,women_vitA,Greater Accra,Ablekuma Central,Ghana
Ghana,women_vitA,Greater Accra,Ablekuma North,Ghana
Ghana,women_vitA,Eastern,Abuakwa South,Ghana
Ghana,women_vitA,Ashanti,Adansi Asokwa,Ghana
Ghana,women_vitA,Volta,Afadzato South,Ghana
Ghana,women_vitA,Central,Agona West,Ghana
Ghana,women_vitA,Volta,Akatsi South,Ghana
Ghana,women_vitA,Eastern,Akwapem North,Ghana
Ghana,women_vitA,Ashanti,Asante-Akim South,Ghana
Ghana,women_vitA,Greater Accra,Ashaiman,Ghana
Ghana,women_vitA,Central,Asikuma-Odoben-Brakwa,Ghana
Ghana,women_vitA,Ashanti,Asokore-Mampong,Ghana
Ghana,women_vitA,Ashanti,Asokwa,Ghana
Ghana,women_vitA,Ahafo,Asunafo North,Ghana
Ghana,women_vitA,Eastern,Atiwa East,Ghana
Ghana,women_vitA,Ashanti,Atwima-Mponua,Ghana
Ghana,women_vitA,Ashanti,Atwima-Nwabiagya South,Ghana
Ghana,women_vitA,Central,Awutu Senya West,Ghana
Ghana,women_vitA,Greater Accra,Ayawaso West,Ghana
Ghana,women_vitA,Upper East,Bawku West,Ghana
Ghana,women_vitA,Ashanti,Bekwai,Ghana
Ghana,women_vitA,Upper East,Binduri,Ghana
Ghana,women_vitA,Savannah,Bole,Ghana
Ghana,women_vitA,Upper East,Builsa South,Ghana
Ghana,women_vitA,Savannah,Central Gonja,Ghana
Ghana,women_vitA,North East,Chereponi,Ghana
Ghana,women_vitA,Eastern,Denkyembour,Ghana
Ghana,women_vitA,Bono,Dormaa West,Ghana
Ghana,women_vitA,Western,Effia Kwesimintsim,Ghana
Ghana,women_vitA,Western,Ellembelle,Ghana
Ghana,women_vitA,Greater Accra,Ga East,Ghana
Ghana,women_vitA,Northern,Gushegu,Ghana
Ghana,women_vitA,Volta,Ho Municipal,Ghana
Ghana,women_vitA,Upper West,Jirapa,Ghana
Ghana,women_vitA,Western,Jomoro,Ghana
Ghana,women_vitA,Upper East,Kasena Nankana East,Ghana
Ghana,women_vitA,Bono East,Kintampo North,Ghana
Ghana,women_vitA,Northern,Kpandai,Ghana
Ghana,women_vitA,Ashanti,Kumasi,Ghana
Ghana,women_vitA,Ashanti,Kwadaso,Ghana
Ghana,women_vitA,Eastern,Kwahu Afram Plains North,Ghana
Ghana,women_vitA,Greater Accra,La-Dade-Kotopon,Ghana
Ghana,women_vitA,Upper West,Lambussie-Karni,Ghana
Ghana,women_vitA,Central,Mfantseman,Ghana
Ghana,women_vitA,Western,Mpohor,Ghana
Ghana,women_vitA,Northern,Nanumba South,Ghana
Ghana,women_vitA,Oti,Nkwanta South,Ghana
Ghana,women_vitA,Savannah,North East Gonja,Ghana
Ghana,women_vitA,Ashanti,Obuasi,Ghana
Ghana,women_vitA,Western,Prestea-Huni Valley,Ghana
Ghana,women_vitA,Northern,Sagnerigu,Ghana
Ghana,women_vitA,Northern,Savelugu,Ghana
Ghana,women_vitA,Savannah,Sawla-Tuna-Kalba,Ghana
Ghana,women_vitA,Western North,Sefwi-Akontombra,Ghana
Ghana,women_vitA,Ashanti,Sekyere Kumawu,Ghana
Ghana,women_vitA,Ashanti,Sekyere South,Ghana
Ghana,women_vitA,Bono East,Sene West,Ghana
Ghana,women_vitA,Upper West,Sissala East,Ghana
Ghana,women_vitA,Volta,South Tongu,Ghana
Ghana,women_vitA,Bono,Sunyani West,Ghana
Ghana,women_vitA,Upper East,Talensi,Ghana
Ghana,women_vitA,Northern,Tamale,Ghana
Ghana,women_vitA,Ahafo,Tano North,Ghana
Ghana,women_vitA,Northern,Tatale Sanguli,Ghana
Ghana,women_vitA,Bono East,Techiman,Ghana
Ghana,women_vitA,Greater Accra,Tema West,Ghana
Ghana,women_vitA,Northern,Tolon,Ghana
Ghana,women_vitA,Central,Twifo-Atti-Morkwa,Ghana
Ghana,women_vitA,Central,Twifo-Hemang-Lower Denkyira,Ghana
Ghana,women_vitA,Upper West,Wa East,Ghana
Ghana,women_vitA,Upper West,Wa Municipal,Ghana
Ghana,women_vitA,Greater Accra,Weija Gbawe,Ghana
Ghana,women_vitA,Bono,Wenchi,Ghana
Ghana,women_vitA,North East,West Mamprusi,Ghana
Ghana,women_vitA,North East,Yunyoo-Nasuan,Ghana
Ghana,child_iron,Greater Accra,Ablekuma Central,Ghana
Ghana,child_iron,Greater Accra,Ablekuma North,Ghana
Ghana,child_iron,Eastern,Abuakwa South,Ghana
Ghana,child_iron,Ashanti,Adansi Asokwa,Ghana
Ghana,child_iron,Volta,Afadzato South,Ghana
Ghana,child_iron,Central,Agona West,Ghana
Ghana,child_iron,Volta,Akatsi South,Ghana
Ghana,child_iron,Eastern,Akwapem North,Ghana
Ghana,child_iron,Ashanti,Asante-Akim South,Ghana
Ghana,child_iron,Greater Accra,Ashaiman,Ghana
Ghana,child_iron,Central,Asikuma-Odoben-Brakwa,Ghana
Ghana,child_iron,Ashanti,Asokore-Mampong,Ghana
Ghana,child_iron,Ashanti,Asokwa,Ghana
Ghana,child_iron,Ahafo,Asunafo North,Ghana
Ghana,child_iron,Eastern,Atiwa East,Ghana
Ghana,child_iron,Ashanti,Atwima-Mponua,Ghana
Ghana,child_iron,Ashanti,Atwima-Nwabiagya South,Ghana
Ghana,child_iron,Central,Awutu Senya West,Ghana
Ghana,child_iron,Greater Accra,Ayawaso West,Ghana
Ghana,child_iron,Upper East,Bawku West,Ghana
Ghana,child_iron,Ashanti,Bekwai,Ghana
Ghana,child_iron,Upper East,Binduri,Ghana
Ghana,child_iron,Savannah,Bole,Ghana
Ghana,child_iron,Upper East,Builsa South,Ghana
Ghana,child_iron,Savannah,Central Gonja,Ghana
Ghana,child_iron,North East,Chereponi,Ghana
Ghana,child_iron,Eastern,Denkyembour,Ghana
Ghana,child_iron,Bono,Dormaa West,Ghana
Ghana,child_iron,Western,Effia Kwesimintsim,Ghana
Ghana,child_iron,Western,Ellembelle,Ghana
Ghana,child_iron,Greater Accra,Ga East,Ghana
Ghana,child_iron,Northern,Gushegu,Ghana
Ghana,child_iron,Volta,Ho Municipal,Ghana
Ghana,child_iron,Upper West,Jirapa,Ghana
Ghana,child_iron,Western,Jomoro,Ghana
Ghana,child_iron,Upper East,Kasena Nankana East,Ghana
Ghana,child_iron,Bono East,Kintampo North,Ghana
Ghana,child_iron,Northern,Kpandai,Ghana
Ghana,child_iron,Ashanti,Kumasi,Ghana
Ghana,child_iron,Ashanti,Kwadaso,Ghana
Ghana,child_iron,Eastern,Kwahu Afram Plains North,Ghana
Ghana,child_iron,Greater Accra,La-Dade-Kotopon,Ghana
Ghana,child_iron,Upper West,Lambussie-Karni,Ghana
Ghana,child_iron,Central,Mfantseman,Ghana
Ghana,child_iron,Western,Mpohor,Ghana
Ghana,child_iron,Northern,Nanumba South,Ghana
Ghana,child_iron,Oti,Nkwanta South,Ghana
Ghana,child_iron,Savannah,North East Gonja,Ghana
Ghana,child_iron,Ashanti,Obuasi,Ghana
Ghana,child_iron,Western,Prestea-Huni Valley,Ghana
Ghana,child_iron,Northern,Sagnerigu,Ghana
Ghana,child_iron,Northern,Savelugu,Ghana
Ghana,child_iron,Savannah,Sawla-Tuna-Kalba,Ghana
Ghana,child_iron,Western North,Sefwi-Akontombra,Ghana
Ghana,child_iron,Ashanti,Sekyere Kumawu,Ghana
Ghana,child_iron,Ashanti,Sekyere South,Ghana
Ghana,child_iron,Bono East,Sene West,Ghana
Ghana,child_iron,Upper West,Sissala East,Ghana
Ghana,child_iron,Volta,South Tongu,Ghana
Ghana,child_iron,Bono,Sunyani West,Ghana
Ghana,child_iron,Upper East,Talensi,Ghana
Ghana,child_iron,Northern,Tamale,Ghana
Ghana,child_iron,Ahafo,Tano North,Ghana
Ghana,child_iron,Northern,Tatale Sanguli,Ghana
Ghana,child_iron,Bono East,Techiman,Ghana
Ghana,child_iron,Greater Accra,Tema West,Ghana
Ghana,child_iron,Northern,Tolon,Ghana
Ghana,child_iron,Central,Twifo-Atti-Morkwa,Ghana
Ghana,child_iron,Central,Twifo-Hemang-Lower Denkyira,Ghana
Ghana,child_iron,Upper West,Wa East,Ghana
Ghana,child_iron,Upper West,Wa Municipal,Ghana
Ghana,child_iron,Greater Accra,Weija Gbawe,Ghana
Ghana,child_iron,Bono,Wenchi,Ghana
Ghana,child_iron,North East,West Mamprusi,Ghana
Ghana,child_iron,North East,Yunyoo-Nasuan,Ghana
Ghana,women_iron,Greater Accra,Ablekuma Central,Ghana
Ghana,women_iron,Greater Accra,Ablekuma North,Ghana
Ghana,women_iron,Eastern,Abuakwa South,Ghana
Ghana,women_iron,Ashanti,Adansi Asokwa,Ghana
Ghana,women_iron,Volta,Afadzato South,Ghana
Ghana,women_iron,Central,Agona West,Ghana
Ghana,women_iron,Volta,Akatsi South,Ghana
Ghana,women_iron,Eastern,Akwapem North,Ghana
Ghana,women_iron,Ashanti,Asante-Akim South,Ghana
Ghana,women_iron,Greater Accra,Ashaiman,Ghana
Ghana,women_iron,Central,Asikuma-Odoben-Brakwa,Ghana
Ghana,women_iron,Ashanti,Asokore-Mampong,Ghana
Ghana,women_iron,Ashanti,Asokwa,Ghana
Ghana,women_iron,Ahafo,Asunafo North,Ghana
Ghana,women_iron,Eastern,Atiwa East,Ghana
Ghana,women_iron,Ashanti,Atwima-Mponua,Ghana
Ghana,women_iron,Ashanti,Atwima-Nwabiagya South,Ghana
Ghana,women_iron,Central,Awutu Senya West,Ghana
Ghana,women_iron,Greater Accra,Ayawaso West,Ghana
Ghana,women_iron,Upper East,Bawku West,Ghana
Ghana,women_iron,Ashanti,Bekwai,Ghana
Ghana,women_iron,Upper East,Binduri,Ghana
Ghana,women_iron,Savannah,Bole,Ghana
Ghana,women_iron,Upper East,Builsa South,Ghana
Ghana,women_iron,Savannah,Central Gonja,Ghana
Ghana,women_iron,North East,Chereponi,Ghana
Ghana,women_iron,Eastern,Denkyembour,Ghana
Ghana,women_iron,Bono,Dormaa West,Ghana
Ghana,women_iron,Western,Effia Kwesimintsim,Ghana
Ghana,women_iron,Western,Ellembelle,Ghana
Ghana,women_iron,Greater Accra,Ga East,Ghana
Ghana,women_iron,Northern,Gushegu,Ghana
Ghana,women_iron,Volta,Ho Municipal,Ghana
Ghana,women_iron,Upper West,Jirapa,Ghana
Ghana,women_iron,Western,Jomoro,Ghana
Ghana,women_iron,Upper East,Kasena Nankana East,Ghana
Ghana,women_iron,Bono East,Kintampo North,Ghana
Ghana,women_iron,Northern,Kpandai,Ghana
Ghana,women_iron,Ashanti,Kumasi,Ghana
Ghana,women_iron,Ashanti,Kwadaso,Ghana
Ghana,women_iron,Eastern,Kwahu Afram Plains North,Ghana
Ghana,women_iron,Greater Accra,La-Dade-Kotopon,Ghana
Ghana,women_iron,Upper West,Lambussie-Karni,Ghana
Ghana,women_iron,Central,Mfantseman,Ghana
Ghana,women_iron,Western,Mpohor,Ghana
Ghana,women_iron,Northern,Nanumba South,Ghana
Ghana,women_iron,Oti,Nkwanta South,Ghana
Ghana,women_iron,Savannah,North East Gonja,Ghana
Ghana,women_iron,Ashanti,Obuasi,Ghana
Ghana,women_iron,Western,Prestea-Huni Valley,Ghana
Ghana,women_iron,Northern,Sagnerigu,Ghana
Ghana,women_iron,Northern,Savelugu,Ghana
Ghana,women_iron,Savannah,Sawla-Tuna-Kalba,Ghana
Ghana,women_iron,Western North,Sefwi-Akontombra,Ghana
Ghana,women_iron,Ashanti,Sekyere Kumawu,Ghana
Ghana,women_iron,Ashanti,Sekyere South,Ghana
Ghana,women_iron,Bono East,Sene West,Ghana
Ghana,women_iron,Upper West,Sissala East,Ghana
Ghana,women_iron,Volta,South Tongu,Ghana
Ghana,women_iron,Bono,Sunyani West,Ghana
Ghana,women_iron,Upper East,Talensi,Ghana
Ghana,women_iron,Northern,Tamale,Ghana
Ghana,women_iron,Ahafo,Tano North,Ghana
Ghana,women_iron,Northern,Tatale Sanguli,Ghana
Ghana,women_iron,Bono East,Techiman,Ghana
Ghana,women_iron,Greater Accra,Tema West,Ghana
Ghana,women_iron,Northern,Tolon,Ghana
Ghana,women_iron,Central,Twifo-Atti-Morkwa,Ghana
Ghana,women_iron,Central,Twifo-Hemang-Lower Denkyira,Ghana
Ghana,women_iron,Upper West,Wa East,Ghana
Ghana,women_iron,Upper West,Wa Municipal,Ghana
Ghana,women_iron,Greater Accra,Weija Gbawe,Ghana
Ghana,women_iron,Bono,Wenchi,Ghana
Ghana,women_iron,North East,West Mamprusi,Ghana
Ghana,women_iron,North East,Yunyoo-Nasuan,Ghana
Ghana,women_folate,Greater Accra,Ablekuma Central,Ghana
Ghana,women_folate,Greater Accra,Ablekuma North,Ghana
Ghana,women_folate,Eastern,Abuakwa South,Ghana
Ghana,women_folate,Ashanti,Adansi Asokwa,Ghana
Ghana,women_folate,Volta,Afadzato South,Ghana
Ghana,women_folate,Central,Agona West,Ghana
Ghana,women_folate,Volta,Akatsi South,Ghana
Ghana,women_folate,Eastern,Akwapem North,Ghana
Ghana,women_folate,Ashanti,Asante-Akim South,Ghana
Ghana,women_folate,Greater Accra,Ashaiman,Ghana
Ghana,women_folate,Central,Asikuma-Odoben-Brakwa,Ghana
Ghana,women_folate,Ashanti,Asokore-Mampong,Ghana
Ghana,women_folate,Ashanti,Asokwa,Ghana
Ghana,women_folate,Ahafo,Asunafo North,Ghana
Ghana,women_folate,Eastern,Atiwa East,Ghana
Ghana,women_folate,Ashanti,Atwima-Mponua,Ghana
Ghana,women_folate,Ashanti,Atwima-Nwabiagya South,Ghana
Ghana,women_folate,Central,Awutu Senya West,Ghana
Ghana,women_folate,Greater Accra,Ayawaso West,Ghana
Ghana,women_folate,Upper East,Bawku West,Ghana
Ghana,women_folate,Ashanti,Bekwai,Ghana
Ghana,women_folate,Upper East,Binduri,Ghana
Ghana,women_folate,Savannah,Bole,Ghana
Ghana,women_folate,Upper East,Builsa South,Ghana
Ghana,women_folate,Savannah,Central Gonja,Ghana
Ghana,women_folate,North East,Chereponi,Ghana
Ghana,women_folate,Eastern,Denkyembour,Ghana
Ghana,women_folate,Bono,Dormaa West,Ghana
Ghana,women_folate,Western,Effia Kwesimintsim,Ghana
Ghana,women_folate,Western,Ellembelle,Ghana
Ghana,women_folate,Greater Accra,Ga East,Ghana
Ghana,women_folate,Northern,Gushegu,Ghana
Ghana,women_folate,Volta,Ho Municipal,Ghana
Ghana,women_folate,Upper West,Jirapa,Ghana
Ghana,women_folate,Western,Jomoro,Ghana
Ghana,women_folate,Upper East,Kasena Nankana East,Ghana
Ghana,women_folate,Bono East,Kintampo North,Ghana
Ghana,women_folate,Northern,Kpandai,Ghana
Ghana,women_folate,Ashanti,Kumasi,Ghana
Ghana,women_folate,Ashanti,Kwadaso,Ghana
Ghana,women_folate,Eastern,Kwahu Afram Plains North,Ghana
Ghana,women_folate,Greater Accra,La-Dade-Kotopon,Ghana
Ghana,women_folate,Upper West,Lambussie-Karni,Ghana
Ghana,women_folate,Central,Mfantseman,Ghana
Ghana,women_folate,Western,Mpohor,Ghana
Ghana,women_folate,Northern,Nanumba South,Ghana
Ghana,women_folate,Oti,Nkwanta South,Ghana
Ghana,women_folate,Savannah,North East Gonja,Ghana
Ghana,women_folate,Ashanti,Obuasi,Ghana
Ghana,women_folate,Western,Prestea-Huni Valley,Ghana
Ghana,women_folate,Northern,Sagnerigu,Ghana
Ghana,women_folate,Northern,Savelugu,Ghana
Ghana,women_folate,Savannah,Sawla-Tuna-Kalba,Ghana
Ghana,women_folate,Western North,Sefwi-Akontombra,Ghana
Ghana,women_folate,Ashanti,Sekyere Kumawu,Ghana
Ghana,women_folate,Ashanti,Sekyere South,Ghana
Ghana,women_folate,Bono East,Sene West,Ghana
Ghana,women_folate,Upper West,Sissala East,Ghana
Ghana,women_folate,Volta,South Tongu,Ghana
Ghana,women_folate,Bono,Sunyani West,Ghana
Ghana,women_folate,Upper East,Talensi,Ghana
Ghana,women_folate,Northern,Tamale,Ghana
Ghana,women_folate,Ahafo,Tano North,Ghana
Ghana,women_folate,Northern,Tatale Sanguli,Ghana
Ghana,women_folate,Bono East,Techiman,Ghana
Ghana,women_folate,Greater Accra,Tema West,Ghana
Ghana,women_folate,Northern,Tolon,Ghana
Ghana,women_folate,Central,Twifo-Atti-Morkwa,Ghana
Ghana,women_folate,Central,Twifo-Hemang-Lower Denkyira,Ghana
Ghana,women_folate,Upper West,Wa East,Ghana
Ghana,women_folate,Upper West,Wa Municipal,Ghana
Ghana,women_folate,Greater Accra,Weija Gbawe,Ghana
Ghana,women_folate,Bono,Wenchi,Ghana
Ghana,women_folate,North East,West Mamprusi,Ghana
Ghana,women_folate,North East,Yunyoo-Nasuan,Ghana
