"country","programme","dhs_survey","dhs_cluster","source"
"Malawi","DHS","MW2015DHS (MWIR7ADT/MWKR7ADT/MWPR7ADT/MWHR7ADT/MWBR7ADT; GPS MWGE7AFL)",114,"unique(gw_cnum) of data/IPD/Malawi/Malawi_merged_dataset.rds; MNS 2015-16 sampled 105 of the 850 MDHS 2015-16 clusters (WSC4: 3,097 of 3,099 rows link to a DHS person)"
"Malawi","DHS","MW2015DHS (MWIR7ADT/MWKR7ADT/MWPR7ADT/MWHR7ADT/MWBR7ADT; GPS MWGE7AFL)",136,"unique(gw_cnum) of data/IPD/Malawi/Malawi_merged_dataset.rds; MNS 2015-16 sampled 105 of the 850 MDHS 2015-16 clusters (WSC4: 3,097 of 3,099 rows link to a DHS person)"
"Malawi","DHS","MW2015DHS (MWIR7ADT/MWKR7ADT/MWPR7ADT/MWHR7ADT/MWBR7ADT; GPS MWGE7AFL)",140,"unique(gw_cnum) of data/IPD/Malawi/Malawi_merged_dataset.rds; MNS 2015-16 sampled 105 of the 850 MDHS 2015-16 clusters (WSC4: 3,097 of 3,099 rows link to a DHS person)"
"Malawi","DHS","MW2015DHS (MWIR7ADT/MWKR7ADT/MWPR7ADT/MWHR7ADT/MWBR7ADT; GPS MWGE7AFL)",145,"unique(gw_cnum) of data/IPD/Malawi/Malawi_merged_dataset.rds; MNS 2015-16 sampled 105 of the 850 MDHS 2015-16 clusters (WSC4: 3,097 of 3,099 rows link to a DHS person)"
"Malawi","DHS","MW2015DHS (MWIR7ADT/MWKR7ADT/MWPR7ADT/MWHR7ADT/MWBR7ADT; GPS MWGE7AFL)",150,"unique(gw_cnum) of data/IPD/Malawi/Malawi_merged_dataset.rds; MNS 2015-16 sampled 105 of the 850 MDHS 2015-16 clusters (WSC4: 3,097 of 3,099 rows link to a DHS person)"
"Malawi","DHS","MW2015DHS (MWIR7ADT/MWKR7ADT/MWPR7ADT/MWHR7ADT/MWBR7ADT; GPS MWGE7AFL)",162,"unique(gw_cnum) of data/IPD/Malawi/Malawi_merged_dataset.rds; MNS 2015-16 sampled 105 of the 850 MDHS 2015-16 clusters (WSC4: 3,097 of 3,099 rows link to a DHS person)"
"Malawi","DHS","MW2015DHS (MWIR7ADT/MWKR7ADT/MWPR7ADT/MWHR7ADT/MWBR7ADT; GPS MWGE7AFL)",170,"unique(gw_cnum) of data/IPD/Malawi/Malawi_merged_dataset.rds; MNS 2015-16 sampled 105 of the 850 MDHS 2015-16 clusters (WSC4: 3,097 of 3,099 rows link to a DHS person)"
"Malawi","DHS","MW2015DHS (MWIR7ADT/MWKR7ADT/MWPR7ADT/MWHR7ADT/MWBR7ADT; GPS MWGE7AFL)",178,"unique(gw_cnum) of data/IPD/Malawi/Malawi_merged_dataset.rds; MNS 2015-16 sampled 105 of the 850 MDHS 2015-16 clusters (WSC4: 3,097 of 3,099 rows link to a DHS person)"
"Malawi","DHS","MW2015DHS (MWIR7ADT/MWKR7ADT/MWPR7ADT/MWHR7ADT/MWBR7ADT; GPS MWGE7AFL)",185,"unique(gw_cnum) of data/IPD/Malawi/Malawi_merged_dataset.rds; MNS 2015-16 sampled 105 of the 850 MDHS 2015-16 clusters (WSC4: 3,097 of 3,099 rows link to a DHS person)"
"Malawi","DHS","MW2015DHS (MWIR7ADT/MWKR7ADT/MWPR7ADT/MWHR7ADT/MWBR7ADT; GPS MWGE7AFL)",190,"unique(gw_cnum) of data/IPD/Malawi/Malawi_merged_dataset.rds; MNS 2015-16 sampled 105 of the 850 MDHS 2015-16 clusters (WSC4: 3,097 of 3,099 rows link to a DHS person)"
"Malawi","DHS","MW2015DHS (MWIR7ADT/MWKR7ADT/MWPR7ADT/MWHR7ADT/MWBR7ADT; GPS MWGE7AFL)",192,"unique(gw_cnum) of data/IPD/Malawi/Malawi_merged_dataset.rds; MNS 2015-16 sampled 105 of the 850 MDHS 2015-16 clusters (WSC4: 3,097 of 3,099 rows link to a DHS person)"
"Malawi","DHS","MW2015DHS (MWIR7ADT/MWKR7ADT/MWPR7ADT/MWHR7ADT/MWBR7ADT; GPS MWGE7AFL)",193,"unique(gw_cnum) of data/IPD/Malawi/Malawi_merged_dataset.rds; MNS 2015-16 sampled 105 of the 850 MDHS 2015-16 clusters (WSC4: 3,097 of 3,099 rows link to a DHS person)"
"Malawi","DHS","MW2015DHS (MWIR7ADT/MWKR7ADT/MWPR7ADT/MWHR7ADT/MWBR7ADT; GPS MWGE7AFL)",194,"unique(gw_cnum) of data/IPD/Malawi/Malawi_merged_dataset.rds; MNS 2015-16 sampled 105 of the 850 MDHS 2015-16 clusters (WSC4: 3,097 of 3,099 rows link to a DHS person)"
"Malawi","DHS","MW2015DHS (MWIR7ADT/MWKR7ADT/MWPR7ADT/MWHR7ADT/MWBR7ADT; GPS MWGE7AFL)",195,"unique(gw_cnum) of data/IPD/Malawi/Malawi_merged_dataset.rds; MNS 2015-16 sampled 105 of the 850 MDHS 2015-16 clusters (WSC4: 3,097 of 3,099 rows link to a DHS person)"
"Malawi","DHS","MW2015DHS (MWIR7ADT/MWKR7ADT/MWPR7ADT/MWHR7ADT/MWBR7ADT; GPS MWGE7AFL)",200,"unique(gw_cnum) of data/IPD/Malawi/Malawi_merged_dataset.rds; MNS 2015-16 sampled 105 of the 850 MDHS 2015-16 clusters (WSC4: 3,097 of 3,099 rows link to a DHS person)"
"Malawi","DHS","MW2015DHS (MWIR7ADT/MWKR7ADT/MWPR7ADT/MWHR7ADT/MWBR7ADT; GPS MWGE7AFL)",205,"unique(gw_cnum) of data/IPD/Malawi/Malawi_merged_dataset.rds; MNS 2015-16 sampled 105 of the 850 MDHS 2015-16 clusters (WSC4: 3,097 of 3,099 rows link to a DHS person)"
"Malawi","DHS","MW2015DHS (MWIR7ADT/MWKR7ADT/MWPR7ADT/MWHR7ADT/MWBR7ADT; GPS MWGE7AFL)",209,"unique(gw_cnum) of data/IPD/Malawi/Malawi_merged_dataset.rds; MNS 2015-16 sampled 105 of the 850 MDHS 2015-16 clusters (WSC4: 3,097 of 3,099 rows link to a DHS person)"
"Malawi","DHS","MW2015DHS (MWIR7ADT/MWKR7ADT/MWPR7ADT/MWHR7ADT/MWBR7ADT; GPS MWGE7AFL)",218,"unique(gw_cnum) of data/IPD/Malawi/Malawi_merged_dataset.rds; MNS 2015-16 sampled 105 of the 850 MDHS 2015-16 clusters (WSC4: 3,097 of 3,099 rows link to a DHS person)"
"Malawi","DHS","MW2015DHS (MWIR7ADT/MWKR7ADT/MWPR7ADT/MWHR7ADT/MWBR7ADT; GPS MWGE7AFL)",219,"unique(gw_cnum) of data/IPD/Malawi/Malawi_merged_dataset.rds; MNS 2015-16 sampled 105 of the 850 MDHS 2015-16 clusters (WSC4: 3,097 of 3,099 rows link to a DHS person)"
"Malawi","DHS","MW2015DHS (MWIR7ADT/MWKR7ADT/MWPR7ADT/MWHR7ADT/MWBR7ADT; GPS MWGE7AFL)",223,"unique(gw_cnum) of data/IPD/Malawi/Malawi_merged_dataset.rds; MNS 2015-16 sampled 105 of the 850 MDHS 2015-16 clusters (WSC4: 3,097 of 3,099 rows link to a DHS person)"
"Malawi","DHS","MW2015DHS (MWIR7ADT/MWKR7ADT/MWPR7ADT/MWHR7ADT/MWBR7ADT; GPS MWGE7AFL)",227,"unique(gw_cnum) of data/IPD/Malawi/Malawi_merged_dataset.rds; MNS 2015-16 sampled 105 of the 850 MDHS 2015-16 clusters (WSC4: 3,097 of 3,099 rows link to a DHS person)"
"Malawi","DHS","MW2015DHS (MWIR7ADT/MWKR7ADT/MWPR7ADT/MWHR7ADT/MWBR7ADT; GPS MWGE7AFL)",232,"unique(gw_cnum) of data/IPD/Malawi/Malawi_merged_dataset.rds; MNS 2015-16 sampled 105 of the 850 MDHS 2015-16 clusters (WSC4: 3,097 of 3,099 rows link to a DHS person)"
"Malawi","DHS","MW2015DHS (MWIR7ADT/MWKR7ADT/MWPR7ADT/MWHR7ADT/MWBR7ADT; GPS MWGE7AFL)",234,"unique(gw_cnum) of data/IPD/Malawi/Malawi_merged_dataset.rds; MNS 2015-16 sampled 105 of the 850 MDHS 2015-16 clusters (WSC4: 3,097 of 3,099 rows link to a DHS person)"
"Malawi","DHS","MW2015DHS (MWIR7ADT/MWKR7ADT/MWPR7ADT/MWHR7ADT/MWBR7ADT; GPS MWGE7AFL)",238,"unique(gw_cnum) of data/IPD/Malawi/Malawi_merged_dataset.rds; MNS 2015-16 sampled 105 of the 850 MDHS 2015-16 clusters (WSC4: 3,097 of 3,099 rows link to a DHS person)"
"Malawi","DHS","MW2015DHS (MWIR7ADT/MWKR7ADT/MWPR7ADT/MWHR7ADT/MWBR7ADT; GPS MWGE7AFL)",240,"unique(gw_cnum) of data/IPD/Malawi/Malawi_merged_dataset.rds; MNS 2015-16 sampled 105 of the 850 MDHS 2015-16 clusters (WSC4: 3,097 of 3,099 rows link to a DHS person)"
"Malawi","DHS","MW2015DHS (MWIR7ADT/MWKR7ADT/MWPR7ADT/MWHR7ADT/MWBR7ADT; GPS MWGE7AFL)",242,"unique(gw_cnum) of data/IPD/Malawi/Malawi_merged_dataset.rds; MNS 2015-16 sampled 105 of the 850 MDHS 2015-16 clusters (WSC4: 3,097 of 3,099 rows link to a DHS person)"
"Malawi","DHS","MW2015DHS (MWIR7ADT/MWKR7ADT/MWPR7ADT/MWHR7ADT/MWBR7ADT; GPS MWGE7AFL)",245,"unique(gw_cnum) of data/IPD/Malawi/Malawi_merged_dataset.rds; MNS 2015-16 sampled 105 of the 850 MDHS 2015-16 clusters (WSC4: 3,097 of 3,099 rows link to a DHS person)"
"Malawi","DHS","MW2015DHS (MWIR7ADT/MWKR7ADT/MWPR7ADT/MWHR7ADT/MWBR7ADT; GPS MWGE7AFL)",253,"unique(gw_cnum) of data/IPD/Malawi/Malawi_merged_dataset.rds; MNS 2015-16 sampled 105 of the 850 MDHS 2015-16 clusters (WSC4: 3,097 of 3,099 rows link to a DHS person)"
"Malawi","DHS","MW2015DHS (MWIR7ADT/MWKR7ADT/MWPR7ADT/MWHR7ADT/MWBR7ADT; GPS MWGE7AFL)",270,"unique(gw_cnum) of data/IPD/Malawi/Malawi_merged_dataset.rds; MNS 2015-16 sampled 105 of the 850 MDHS 2015-16 clusters (WSC4: 3,097 of 3,099 rows link to a DHS person)"
"Malawi","DHS","MW2015DHS (MWIR7ADT/MWKR7ADT/MWPR7ADT/MWHR7ADT/MWBR7ADT; GPS MWGE7AFL)",271,"unique(gw_cnum) of data/IPD/Malawi/Malawi_merged_dataset.rds; MNS 2015-16 sampled 105 of the 850 MDHS 2015-16 clusters (WSC4: 3,097 of 3,099 rows link to a DHS person)"
"Malawi","DHS","MW2015DHS (MWIR7ADT/MWKR7ADT/MWPR7ADT/MWHR7ADT/MWBR7ADT; GPS MWGE7AFL)",276,"unique(gw_cnum) of data/IPD/Malawi/Malawi_merged_dataset.rds; MNS 2015-16 sampled 105 of the 850 MDHS 2015-16 clusters (WSC4: 3,097 of 3,099 rows link to a DHS person)"
"Malawi","DHS","MW2015DHS (MWIR7ADT/MWKR7ADT/MWPR7ADT/MWHR7ADT/MWBR7ADT; GPS MWGE7AFL)",282,"unique(gw_cnum) of data/IPD/Malawi/Malawi_merged_dataset.rds; MNS 2015-16 sampled 105 of the 850 MDHS 2015-16 clusters (WSC4: 3,097 of 3,099 rows link to a DHS person)"
"Malawi","DHS","MW2015DHS (MWIR7ADT/MWKR7ADT/MWPR7ADT/MWHR7ADT/MWBR7ADT; GPS MWGE7AFL)",294,"unique(gw_cnum) of data/IPD/Malawi/Malawi_merged_dataset.rds; MNS 2015-16 sampled 105 of the 850 MDHS 2015-16 clusters (WSC4: 3,097 of 3,099 rows link to a DHS person)"
"Malawi","DHS","MW2015DHS (MWIR7ADT/MWKR7ADT/MWPR7ADT/MWHR7ADT/MWBR7ADT; GPS MWGE7AFL)",303,"unique(gw_cnum) of data/IPD/Malawi/Malawi_merged_dataset.rds; MNS 2015-16 sampled 105 of the 850 MDHS 2015-16 clusters (WSC4: 3,097 of 3,099 rows link to a DHS person)"
"Malawi","DHS","MW2015DHS (MWIR7ADT/MWKR7ADT/MWPR7ADT/MWHR7ADT/MWBR7ADT; GPS MWGE7AFL)",309,"unique(gw_cnum) of data/IPD/Malawi/Malawi_merged_dataset.rds; MNS 2015-16 sampled 105 of the 850 MDHS 2015-16 clusters (WSC4: 3,097 of 3,099 rows link to a DHS person)"
"Malawi","DHS","MW2015DHS (MWIR7ADT/MWKR7ADT/MWPR7ADT/MWHR7ADT/MWBR7ADT; GPS MWGE7AFL)",315,"unique(gw_cnum) of data/IPD/Malawi/Malawi_merged_dataset.rds; MNS 2015-16 sampled 105 of the 850 MDHS 2015-16 clusters (WSC4: 3,097 of 3,099 rows link to a DHS person)"
"Malawi","DHS","MW2015DHS (MWIR7ADT/MWKR7ADT/MWPR7ADT/MWHR7ADT/MWBR7ADT; GPS MWGE7AFL)",321,"unique(gw_cnum) of data/IPD/Malawi/Malawi_merged_dataset.rds; MNS 2015-16 sampled 105 of the 850 MDHS 2015-16 clusters (WSC4: 3,097 of 3,099 rows link to a DHS person)"
"Malawi","DHS","MW2015DHS (MWIR7ADT/MWKR7ADT/MWPR7ADT/MWHR7ADT/MWBR7ADT; GPS MWGE7AFL)",342,"unique(gw_cnum) of data/IPD/Malawi/Malawi_merged_dataset.rds; MNS 2015-16 sampled 105 of the 850 MDHS 2015-16 clusters (WSC4: 3,097 of 3,099 rows link to a DHS person)"
"Malawi","DHS","MW2015DHS (MWIR7ADT/MWKR7ADT/MWPR7ADT/MWHR7ADT/MWBR7ADT; GPS MWGE7AFL)",344,"unique(gw_cnum) of data/IPD/Malawi/Malawi_merged_dataset.rds; MNS 2015-16 sampled 105 of the 850 MDHS 2015-16 clusters (WSC4: 3,097 of 3,099 rows link to a DHS person)"
"Malawi","DHS","MW2015DHS (MWIR7ADT/MWKR7ADT/MWPR7ADT/MWHR7ADT/MWBR7ADT; GPS MWGE7AFL)",361,"unique(gw_cnum) of data/IPD/Malawi/Malawi_merged_dataset.rds; MNS 2015-16 sampled 105 of the 850 MDHS 2015-16 clusters (WSC4: 3,097 of 3,099 rows link to a DHS person)"
"Malawi","DHS","MW2015DHS (MWIR7ADT/MWKR7ADT/MWPR7ADT/MWHR7ADT/MWBR7ADT; GPS MWGE7AFL)",369,"unique(gw_cnum) of data/IPD/Malawi/Malawi_merged_dataset.rds; MNS 2015-16 sampled 105 of the 850 MDHS 2015-16 clusters (WSC4: 3,097 of 3,099 rows link to a DHS person)"
"Malawi","DHS","MW2015DHS (MWIR7ADT/MWKR7ADT/MWPR7ADT/MWHR7ADT/MWBR7ADT; GPS MWGE7AFL)",377,"unique(gw_cnum) of data/IPD/Malawi/Malawi_merged_dataset.rds; MNS 2015-16 sampled 105 of the 850 MDHS 2015-16 clusters (WSC4: 3,097 of 3,099 rows link to a DHS person)"
"Malawi","DHS","MW2015DHS (MWIR7ADT/MWKR7ADT/MWPR7ADT/MWHR7ADT/MWBR7ADT; GPS MWGE7AFL)",387,"unique(gw_cnum) of data/IPD/Malawi/Malawi_merged_dataset.rds; MNS 2015-16 sampled 105 of the 850 MDHS 2015-16 clusters (WSC4: 3,097 of 3,099 rows link to a DHS person)"
"Malawi","DHS","MW2015DHS (MWIR7ADT/MWKR7ADT/MWPR7ADT/MWHR7ADT/MWBR7ADT; GPS MWGE7AFL)",388,"unique(gw_cnum) of data/IPD/Malawi/Malawi_merged_dataset.rds; MNS 2015-16 sampled 105 of the 850 MDHS 2015-16 clusters (WSC4: 3,097 of 3,099 rows link to a DHS person)"
"Malawi","DHS","MW2015DHS (MWIR7ADT/MWKR7ADT/MWPR7ADT/MWHR7ADT/MWBR7ADT; GPS MWGE7AFL)",389,"unique(gw_cnum) of data/IPD/Malawi/Malawi_merged_dataset.rds; MNS 2015-16 sampled 105 of the 850 MDHS 2015-16 clusters (WSC4: 3,097 of 3,099 rows link to a DHS person)"
"Malawi","DHS","MW2015DHS (MWIR7ADT/MWKR7ADT/MWPR7ADT/MWHR7ADT/MWBR7ADT; GPS MWGE7AFL)",398,"unique(gw_cnum) of data/IPD/Malawi/Malawi_merged_dataset.rds; MNS 2015-16 sampled 105 of the 850 MDHS 2015-16 clusters (WSC4: 3,097 of 3,099 rows link to a DHS person)"
"Malawi","DHS","MW2015DHS (MWIR7ADT/MWKR7ADT/MWPR7ADT/MWHR7ADT/MWBR7ADT; GPS MWGE7AFL)",401,"unique(gw_cnum) of data/IPD/Malawi/Malawi_merged_dataset.rds; MNS 2015-16 sampled 105 of the 850 MDHS 2015-16 clusters (WSC4: 3,097 of 3,099 rows link to a DHS person)"
"Malawi","DHS","MW2015DHS (MWIR7ADT/MWKR7ADT/MWPR7ADT/MWHR7ADT/MWBR7ADT; GPS MWGE7AFL)",405,"unique(gw_cnum) of data/IPD/Malawi/Malawi_merged_dataset.rds; MNS 2015-16 sampled 105 of the 850 MDHS 2015-16 clusters (WSC4: 3,097 of 3,099 rows link to a DHS person)"
"Malawi","DHS","MW2015DHS (MWIR7ADT/MWKR7ADT/MWPR7ADT/MWHR7ADT/MWBR7ADT; GPS MWGE7AFL)",410,"unique(gw_cnum) of data/IPD/Malawi/Malawi_merged_dataset.rds; MNS 2015-16 sampled 105 of the 850 MDHS 2015-16 clusters (WSC4: 3,097 of 3,099 rows link to a DHS person)"
"Malawi","DHS","MW2015DHS (MWIR7ADT/MWKR7ADT/MWPR7ADT/MWHR7ADT/MWBR7ADT; GPS MWGE7AFL)",420,"unique(gw_cnum) of data/IPD/Malawi/Malawi_merged_dataset.rds; MNS 2015-16 sampled 105 of the 850 MDHS 2015-16 clusters (WSC4: 3,097 of 3,099 rows link to a DHS person)"
"Malawi","DHS","MW2015DHS (MWIR7ADT/MWKR7ADT/MWPR7ADT/MWHR7ADT/MWBR7ADT; GPS MWGE7AFL)",435,"unique(gw_cnum) of data/IPD/Malawi/Malawi_merged_dataset.rds; MNS 2015-16 sampled 105 of the 850 MDHS 2015-16 clusters (WSC4: 3,097 of 3,099 rows link to a DHS person)"
"Malawi","DHS","MW2015DHS (MWIR7ADT/MWKR7ADT/MWPR7ADT/MWHR7ADT/MWBR7ADT; GPS MWGE7AFL)",444,"unique(gw_cnum) of data/IPD/Malawi/Malawi_merged_dataset.rds; MNS 2015-16 sampled 105 of the 850 MDHS 2015-16 clusters (WSC4: 3,097 of 3,099 rows link to a DHS person)"
"Malawi","DHS","MW2015DHS (MWIR7ADT/MWKR7ADT/MWPR7ADT/MWHR7ADT/MWBR7ADT; GPS MWGE7AFL)",448,"unique(gw_cnum) of data/IPD/Malawi/Malawi_merged_dataset.rds; MNS 2015-16 sampled 105 of the 850 MDHS 2015-16 clusters (WSC4: 3,097 of 3,099 rows link to a DHS person)"
"Malawi","DHS","MW2015DHS (MWIR7ADT/MWKR7ADT/MWPR7ADT/MWHR7ADT/MWBR7ADT; GPS MWGE7AFL)",459,"unique(gw_cnum) of data/IPD/Malawi/Malawi_merged_dataset.rds; MNS 2015-16 sampled 105 of the 850 MDHS 2015-16 clusters (WSC4: 3,097 of 3,099 rows link to a DHS person)"
"Malawi","DHS","MW2015DHS (MWIR7ADT/MWKR7ADT/MWPR7ADT/MWHR7ADT/MWBR7ADT; GPS MWGE7AFL)",461,"unique(gw_cnum) of data/IPD/Malawi/Malawi_merged_dataset.rds; MNS 2015-16 sampled 105 of the 850 MDHS 2015-16 clusters (WSC4: 3,097 of 3,099 rows link to a DHS person)"
"Malawi","DHS","MW2015DHS (MWIR7ADT/MWKR7ADT/MWPR7ADT/MWHR7ADT/MWBR7ADT; GPS MWGE7AFL)",464,"unique(gw_cnum) of data/IPD/Malawi/Malawi_merged_dataset.rds; MNS 2015-16 sampled 105 of the 850 MDHS 2015-16 clusters (WSC4: 3,097 of 3,099 rows link to a DHS person)"
"Malawi","DHS","MW2015DHS (MWIR7ADT/MWKR7ADT/MWPR7ADT/MWHR7ADT/MWBR7ADT; GPS MWGE7AFL)",468,"unique(gw_cnum) of data/IPD/Malawi/Malawi_merged_dataset.rds; MNS 2015-16 sampled 105 of the 850 MDHS 2015-16 clusters (WSC4: 3,097 of 3,099 rows link to a DHS person)"
"Malawi","DHS","MW2015DHS (MWIR7ADT/MWKR7ADT/MWPR7ADT/MWHR7ADT/MWBR7ADT; GPS MWGE7AFL)",497,"unique(gw_cnum) of data/IPD/Malawi/Malawi_merged_dataset.rds; MNS 2015-16 sampled 105 of the 850 MDHS 2015-16 clusters (WSC4: 3,097 of 3,099 rows link to a DHS person)"
"Malawi","DHS","MW2015DHS (MWIR7ADT/MWKR7ADT/MWPR7ADT/MWHR7ADT/MWBR7ADT; GPS MWGE7AFL)",498,"unique(gw_cnum) of data/IPD/Malawi/Malawi_merged_dataset.rds; MNS 2015-16 sampled 105 of the 850 MDHS 2015-16 clusters (WSC4: 3,097 of 3,099 rows link to a DHS person)"
"Malawi","DHS","MW2015DHS (MWIR7ADT/MWKR7ADT/MWPR7ADT/MWHR7ADT/MWBR7ADT; GPS MWGE7AFL)",503,"unique(gw_cnum) of data/IPD/Malawi/Malawi_merged_dataset.rds; MNS 2015-16 sampled 105 of the 850 MDHS 2015-16 clusters (WSC4: 3,097 of 3,099 rows link to a DHS person)"
"Malawi","DHS","MW2015DHS (MWIR7ADT/MWKR7ADT/MWPR7ADT/MWHR7ADT/MWBR7ADT; GPS MWGE7AFL)",505,"unique(gw_cnum) of data/IPD/Malawi/Malawi_merged_dataset.rds; MNS 2015-16 sampled 105 of the 850 MDHS 2015-16 clusters (WSC4: 3,097 of 3,099 rows link to a DHS person)"
"Malawi","DHS","MW2015DHS (MWIR7ADT/MWKR7ADT/MWPR7ADT/MWHR7ADT/MWBR7ADT; GPS MWGE7AFL)",507,"unique(gw_cnum) of data/IPD/Malawi/Malawi_merged_dataset.rds; MNS 2015-16 sampled 105 of the 850 MDHS 2015-16 clusters (WSC4: 3,097 of 3,099 rows link to a DHS person)"
"Malawi","DHS","MW2015DHS (MWIR7ADT/MWKR7ADT/MWPR7ADT/MWHR7ADT/MWBR7ADT; GPS MWGE7AFL)",511,"unique(gw_cnum) of data/IPD/Malawi/Malawi_merged_dataset.rds; MNS 2015-16 sampled 105 of the 850 MDHS 2015-16 clusters (WSC4: 3,097 of 3,099 rows link to a DHS person)"
"Malawi","DHS","MW2015DHS (MWIR7ADT/MWKR7ADT/MWPR7ADT/MWHR7ADT/MWBR7ADT; GPS MWGE7AFL)",517,"unique(gw_cnum) of data/IPD/Malawi/Malawi_merged_dataset.rds; MNS 2015-16 sampled 105 of the 850 MDHS 2015-16 clusters (WSC4: 3,097 of 3,099 rows link to a DHS person)"
"Malawi","DHS","MW2015DHS (MWIR7ADT/MWKR7ADT/MWPR7ADT/MWHR7ADT/MWBR7ADT; GPS MWGE7AFL)",531,"unique(gw_cnum) of data/IPD/Malawi/Malawi_merged_dataset.rds; MNS 2015-16 sampled 105 of the 850 MDHS 2015-16 clusters (WSC4: 3,097 of 3,099 rows link to a DHS person)"
