survey,country,survey_year,outcome_tag,population,biomarker,specimen,source_specimen,instrument_or_kit,source_instrument,laboratory,source_laboratory,adjustment_applied,source_adjustment,cutoff,cutoff_scale,cutoff_units,source_cutoff,raw_column,configured_continuous_column,configured_binary_column,uniform_cutoff_applied,source_columns,microdata_file,generated_by,survey_inflammation_adjustment,survey_cutoff,rbp_retinol_comparison
Sierra Leone 2013,Sierra Leone,2013,child_vitA,children,retinol-binding protein (RBP),EDTA plasma (venous; the shipment to Germany thawed just before delivery; sTfR dropped for that reason),"metadata/mn surveys/SLMS-Report_FINAL_151203.pdf; pp. 13-14 (2.5, 2.6.4); Appendix 6 p. 82 (Claude from the report PDF; verify)",sandwich ELISA (Erhardt combined ferritin / sTfR / RBP / CRP / AGP),"metadata/mn surveys/SLMS-Report_FINAL_151203.pdf; pp. 13-14 (2.5, 2.6.4); Appendix 6 p. 82 (Claude from the report PDF; verify)","VitMin Laboratory (Willstaett / Freiburg, Germany; VITAL-EQA participant)","metadata/mn surveys/SLMS-Report_FINAL_151203.pdf; pp. 13-14 (2.5, 2.6.4); Appendix 6 p. 82 (Claude from the report PDF; verify)",BRINDA CRP+AGP,R/brinda_adjustment.R: brinda_country_method(); applied by apply_brinda_vita_binary() and compute_svy_admin2(),0.7,original,umol/L,R/config.R outcome definition,gw_cRBP,gw_cRBPAdj,gw_cVAD,TRUE,R/config.R and R/brinda_adjustment.R column maps,data/IPD/Sierra Leone/SierraLeone_merged_dataset.rds,scripts/build_assay_lineage.R,Thurnham correction factors (applied to RBP as for retinol),RBP < 0.70 umol/L,"no child comparison (insufficient plasma); women: retinol = 0.7878 x RBP + 0.1961, R2 = 0.816, n = 33, kappa 0.63 (Appendix 6, p. 82)"
Sierra Leone 2013,Sierra Leone,2013,women_vitA,women,retinol-binding protein (RBP),EDTA plasma (venous),metadata/mn surveys/SLMS-Report_FINAL_151203.pdf; pp. 13-14; p. 82 (Claude from the report PDF; verify),"sandwich ELISA (Erhardt combined ferritin / sTfR / RBP / CRP / AGP); plasma retinol by HPLC at USDA-ARS Western Human Nutrition Research Center (Davis, USA)",metadata/mn surveys/SLMS-Report_FINAL_151203.pdf; pp. 13-14; p. 82 (Claude from the report PDF; verify),"VitMin Laboratory (Willstaett / Freiburg, Germany; VITAL-EQA participant)",metadata/mn surveys/SLMS-Report_FINAL_151203.pdf; pp. 13-14; p. 82 (Claude from the report PDF; verify),BRINDA CRP+AGP,R/brinda_adjustment.R: brinda_country_method(); applied by apply_brinda_vita_binary() and compute_svy_admin2(),0.7,original,umol/L,R/config.R outcome definition,gw_wRBP,gw_wRBPAdj,gw_wVAD,TRUE,R/config.R and R/brinda_adjustment.R column maps,data/IPD/Sierra Leone/SierraLeone_merged_dataset.rds,scripts/build_assay_lineage.R,Thurnham correction factors,RBP < 0.70 umol/L,"retinol = 0.7878 x RBP + 0.1961, R2 = 0.816, n = 33 (retinol on RBP; RBP 0.70 corresponds to retinol 0.75, retinol 0.70 to RBP 0.64)"
Sierra Leone 2013,Sierra Leone,2013,child_iron,children,serum ferritin,EDTA plasma (venous),metadata/mn surveys/SLMS-Report_FINAL_151203.pdf; pp. 13-14 (Claude from the report PDF; verify),sandwich ELISA (Erhardt combined ferritin / sTfR / RBP / CRP / AGP),metadata/mn surveys/SLMS-Report_FINAL_151203.pdf; pp. 13-14 (Claude from the report PDF; verify),"VitMin Laboratory (Willstaett / Freiburg, Germany; VITAL-EQA participant)",metadata/mn surveys/SLMS-Report_FINAL_151203.pdf; pp. 13-14 (Claude from the report PDF; verify),"survey-provided, not harmonized (configured column gw_cFerrAdj); uniform alternative available: BRINDA CRP+AGP",R/config.R outcome definition; uniform alternative in R/brinda_adjustment.R: brinda_adjust_ferritin(),12,original,ug/L,R/config.R outcome definition,gw_cFerritin,gw_cFerrAdj,gw_cIDA,TRUE,R/config.R and R/brinda_adjustment.R column maps,data/IPD/Sierra Leone/SierraLeone_merged_dataset.rds,scripts/build_assay_lineage.R,Thurnham correction factors (CRP + AGP),ferritin < 12 ug/L,NA
Sierra Leone 2013,Sierra Leone,2013,women_iron,women,serum ferritin,EDTA plasma (venous),metadata/mn surveys/SLMS-Report_FINAL_151203.pdf; pp. 13-14 (Claude from the report PDF; verify),sandwich ELISA (Erhardt combined ferritin / sTfR / RBP / CRP / AGP),metadata/mn surveys/SLMS-Report_FINAL_151203.pdf; pp. 13-14 (Claude from the report PDF; verify),"VitMin Laboratory (Willstaett / Freiburg, Germany; VITAL-EQA participant)",metadata/mn surveys/SLMS-Report_FINAL_151203.pdf; pp. 13-14 (Claude from the report PDF; verify),"survey-provided, not harmonized (configured column gw_wFerAdjBR1); uniform alternative available: BRINDA CRP+AGP",R/config.R outcome definition; uniform alternative in R/brinda_adjustment.R: brinda_adjust_ferritin(),15,original,ug/L,R/config.R outcome definition,gw_wFerritin,gw_wFerAdjBR1,gw_wIDA,TRUE,R/config.R and R/brinda_adjustment.R column maps,data/IPD/Sierra Leone/SierraLeone_merged_dataset.rds,scripts/build_assay_lineage.R,Thurnham correction factors (CRP + AGP),ferritin < 15 ug/L,NA
Sierra Leone 2013,Sierra Leone,2013,women_folate,women,serum or plasma folate,EDTA plasma (heated 60 C for 60 min for Ebola safety; no degradation in test samples),metadata/mn surveys/SLMS-Report_FINAL_151203.pdf; p. 14 (2.6.5) (Claude from the report PDF; verify),Cobas e411 electrochemiluminescence analyzer (Roche),metadata/mn surveys/SLMS-Report_FINAL_151203.pdf; p. 14 (2.6.5) (Claude from the report PDF; verify),"USDA-ARS Western Human Nutrition Research Center (Davis, USA)",metadata/mn surveys/SLMS-Report_FINAL_151203.pdf; p. 14 (2.6.5) (Claude from the report PDF; verify),none defined in this pipeline,R/config.R outcome definition (no inflammation adjustment configured),10,original,nmol/L,R/config.R outcome definition,UNKNOWN,gw_wFolate,gw_wFolDef,FALSE,R/config.R and R/brinda_adjustment.R column maps,data/IPD/Sierra Leone/SierraLeone_merged_dataset.rds,scripts/build_assay_lineage.R,none,NA,NA
Sierra Leone 2013,Sierra Leone,2013,women_b12,women,serum vitamin B12,EDTA plasma (heated 60 C for 60 min),metadata/mn surveys/SLMS-Report_FINAL_151203.pdf; p. 14 (2.6.5) (Claude from the report PDF; verify),Cobas e411 electrochemiluminescence analyzer (Roche),metadata/mn surveys/SLMS-Report_FINAL_151203.pdf; p. 14 (2.6.5) (Claude from the report PDF; verify),"USDA-ARS Western Human Nutrition Research Center (Davis, USA)",metadata/mn surveys/SLMS-Report_FINAL_151203.pdf; p. 14 (2.6.5) (Claude from the report PDF; verify),none defined in this pipeline,R/config.R outcome definition (no inflammation adjustment configured),148,original,pmol/L,R/config.R outcome definition,UNKNOWN,gw_B12,gw_wB12DefWHO,FALSE,R/config.R and R/brinda_adjustment.R column maps,data/IPD/Sierra Leone/SierraLeone_merged_dataset.rds,scripts/build_assay_lineage.R,none,NA,NA
Malawi 2016,Malawi,2016,child_vitA,children,retinol-binding protein (RBP),"serum (venous; 10 uL for RBP, 30 uL for retinol)","metadata/mn surveys/MNS2015-16_Malawi_Micronutrient_Survey_Report.pdf; pp. 20-21 (methods, Table 2.3); p. 77 (Table A.2); p. 82 (Table A.7) (Claude from the report PDF; verify)",sandwich ELISA (Erhardt combined ferritin / sTfR / RBP / CRP / AGP),"metadata/mn surveys/MNS2015-16_Malawi_Micronutrient_Survey_Report.pdf; pp. 20-21 (methods, Table 2.3); p. 77 (Table A.2); p. 82 (Table A.7) (Claude from the report PDF; verify)","VitMin Laboratory (Willstaett / Freiburg, Germany; VITAL-EQA participant); serum retinol and MRDR by HPLC at INCAP (Guatemala City)","metadata/mn surveys/MNS2015-16_Malawi_Micronutrient_Survey_Report.pdf; pp. 20-21 (methods, Table 2.3); p. 77 (Table A.2); p. 82 (Table A.7) (Claude from the report PDF; verify)",BRINDA CRP+AGP,R/brinda_adjustment.R: brinda_country_method(); applied by apply_brinda_vita_binary() and compute_svy_admin2(),0.7,original,umol/L,R/config.R outcome definition,rbp,rbp,vitA_def,TRUE,R/config.R and R/brinda_adjustment.R column maps,data/IPD/Malawi/Malawi_merged_dataset.rds,scripts/build_assay_lineage.R,none for RBP (report: no WHO recommendation at the time),RBP < 0.46 umol/L (calibrated to retinol 0.70 from the subsample),"Table A.7 (p. 82), retinol on RBP: preschool children n = 76, retinol = 0.3788 + 0.7549 RBP (RBP cut-off 0.4255 at retinol 0.70); school-age children and women n = 91, retinol = 0.2747 + 0.9291 RBP (0.4578); all n = 260, retinol = 0.2914 + 0.8817 RBP (0.4634); the survey adopted RBP < 0.46 umol/L for every group (Table 2.3, p. 21). Likoswe et al. 2021 re-analysis: retinol = 0.43 + 0.62 RBP, R2 0.20, n 72"
Malawi 2016,Malawi,2016,women_vitA,women,retinol-binding protein (RBP),serum (venous),metadata/mn surveys/MNS2015-16_Malawi_Micronutrient_Survey_Report.pdf; pp. 20-21; p. 77; p. 82 (Claude from the report PDF; verify),sandwich ELISA (Erhardt combined ferritin / sTfR / RBP / CRP / AGP),metadata/mn surveys/MNS2015-16_Malawi_Micronutrient_Survey_Report.pdf; pp. 20-21; p. 77; p. 82 (Claude from the report PDF; verify),"VitMin Laboratory (Willstaett / Freiburg, Germany; VITAL-EQA participant); serum retinol by HPLC at INCAP (Guatemala City)",metadata/mn surveys/MNS2015-16_Malawi_Micronutrient_Survey_Report.pdf; pp. 20-21; p. 77; p. 82 (Claude from the report PDF; verify),BRINDA CRP+AGP,R/brinda_adjustment.R: brinda_country_method(); applied by apply_brinda_vita_binary() and compute_svy_admin2(),0.7,original,umol/L,R/config.R outcome definition,rbp,rbp,vitA_def,TRUE,R/config.R and R/brinda_adjustment.R column maps,data/IPD/Malawi/Malawi_merged_dataset.rds,scripts/build_assay_lineage.R,none for RBP (report),RBP < 0.46 umol/L (calibrated to retinol 0.70 from the subsample),"Table A.7 (p. 82), retinol on RBP: preschool children n = 76, retinol = 0.3788 + 0.7549 RBP (RBP cut-off 0.4255 at retinol 0.70); school-age children and women n = 91, retinol = 0.2747 + 0.9291 RBP (0.4578); all n = 260, retinol = 0.2914 + 0.8817 RBP (0.4634); the survey adopted RBP < 0.46 umol/L for every group (Table 2.3, p. 21). Likoswe et al. 2021 re-analysis: retinol = 0.43 + 0.62 RBP, R2 0.20, n 72"
Malawi 2016,Malawi,2016,child_iron,children,serum ferritin,serum (venous),metadata/mn surveys/MNS2015-16_Malawi_Micronutrient_Survey_Report.pdf; p. 20; p. 21 (Table 2.3); p. 77 (Table A.2) (Claude from the report PDF; verify),sandwich ELISA (Erhardt combined ferritin / sTfR / RBP / CRP / AGP),metadata/mn surveys/MNS2015-16_Malawi_Micronutrient_Survey_Report.pdf; p. 20; p. 21 (Table 2.3); p. 77 (Table A.2) (Claude from the report PDF; verify),"VitMin Laboratory (Willstaett / Freiburg, Germany; VITAL-EQA participant)",metadata/mn surveys/MNS2015-16_Malawi_Micronutrient_Survey_Report.pdf; p. 20; p. 21 (Table 2.3); p. 77 (Table A.2) (Claude from the report PDF; verify),"survey-provided, not harmonized (configured column sf_reg); uniform alternative available: BRINDA CRP+AGP",R/config.R outcome definition; uniform alternative in R/brinda_adjustment.R: brinda_adjust_ferritin(),12,original,ug/L,R/config.R outcome definition,fer,sf_reg,iron_def,TRUE,R/config.R and R/brinda_adjustment.R column maps,data/IPD/Malawi/Malawi_merged_dataset.rds,scripts/build_assay_lineage.R,"BRINDA internal (country-specific) regression, CRP + AGP (p. 20)",ferritin < 12 ug/L,NA
Malawi 2016,Malawi,2016,women_iron,women,serum ferritin,serum (venous),metadata/mn surveys/MNS2015-16_Malawi_Micronutrient_Survey_Report.pdf; p. 20; p. 21; p. 77 (Claude from the report PDF; verify),sandwich ELISA (Erhardt combined ferritin / sTfR / RBP / CRP / AGP),metadata/mn surveys/MNS2015-16_Malawi_Micronutrient_Survey_Report.pdf; p. 20; p. 21; p. 77 (Claude from the report PDF; verify),"VitMin Laboratory (Willstaett / Freiburg, Germany; VITAL-EQA participant)",metadata/mn surveys/MNS2015-16_Malawi_Micronutrient_Survey_Report.pdf; p. 20; p. 21; p. 77 (Claude from the report PDF; verify),"survey-provided, not harmonized (configured column sf_reg); uniform alternative available: BRINDA CRP+AGP",R/config.R outcome definition; uniform alternative in R/brinda_adjustment.R: brinda_adjust_ferritin(),15,original,ug/L,R/config.R outcome definition,fer,sf_reg,iron_def,TRUE,R/config.R and R/brinda_adjustment.R column maps,data/IPD/Malawi/Malawi_merged_dataset.rds,scripts/build_assay_lineage.R,"BRINDA internal (country-specific) regression, CRP + AGP (p. 20)",ferritin < 15 ug/L,NA
Malawi 2016,Malawi,2016,women_folate,women,serum or plasma folate,serum and red blood cell,metadata/mn surveys/MNS2015-16_Malawi_Micronutrient_Survey_Report.pdf; p. 20; p. 21 (Table 2.3); p. 77 (Table A.2) (Claude from the report PDF; verify),"microbiologic assay (L. rhamnosus, 5-methyl-THF calibrator)",metadata/mn surveys/MNS2015-16_Malawi_Micronutrient_Survey_Report.pdf; p. 20; p. 21 (Table 2.3); p. 77 (Table A.2) (Claude from the report PDF; verify),"CDC Laboratory (Atlanta, USA)",metadata/mn surveys/MNS2015-16_Malawi_Micronutrient_Survey_Report.pdf; p. 20; p. 21 (Table 2.3); p. 77 (Table A.2) (Claude from the report PDF; verify),none defined in this pipeline,R/config.R outcome definition (no inflammation adjustment configured),10,original,nmol/L,R/config.R outcome definition,UNKNOWN,fol_nmol,folate_def,FALSE,R/config.R and R/brinda_adjustment.R column maps,data/IPD/Malawi/Malawi_merged_dataset.rds,scripts/build_assay_lineage.R,none,serum folate < 6.8 nmol/L (megaloblastic risk) and < 14 nmol/L (homocysteine); RBC folate < 748 nmol/L,NA
Malawi 2016,Malawi,2016,women_b12,women,serum vitamin B12,serum,metadata/mn surveys/MNS2015-16_Malawi_Micronutrient_Survey_Report.pdf; p. 20; p. 21; p. 77 (Claude from the report PDF; verify),immunoassay,metadata/mn surveys/MNS2015-16_Malawi_Micronutrient_Survey_Report.pdf; p. 20; p. 21; p. 77 (Claude from the report PDF; verify),"CDC Laboratory (Atlanta, USA)",metadata/mn surveys/MNS2015-16_Malawi_Micronutrient_Survey_Report.pdf; p. 20; p. 21; p. 77 (Claude from the report PDF; verify),none defined in this pipeline,R/config.R outcome definition (no inflammation adjustment configured),148,original,pmol/L,R/config.R outcome definition,UNKNOWN,vitb12,b12_def,FALSE,R/config.R and R/brinda_adjustment.R column maps,data/IPD/Malawi/Malawi_merged_dataset.rds,scripts/build_assay_lineage.R,none,< 150 pmol/L deficiency; < 220 pmol/L depletion,NA
Malawi 2016,Malawi,2016,child_zinc,children,serum or plasma zinc,serum (trace-element-free vacutainer),metadata/mn surveys/MNS2015-16_Malawi_Micronutrient_Survey_Report.pdf; p. 20; p. 21 (Table 2.3); p. 77 (Table A.2) (Claude from the report PDF; verify),atomic emission spectrometry,metadata/mn surveys/MNS2015-16_Malawi_Micronutrient_Survey_Report.pdf; p. 20; p. 21 (Table 2.3); p. 77 (Table A.2) (Claude from the report PDF; verify),"Children's Hospital Oakland Research Institute (CHORI; Oakland, USA)",metadata/mn surveys/MNS2015-16_Malawi_Micronutrient_Survey_Report.pdf; p. 20; p. 21 (Table 2.3); p. 77 (Table A.2) (Claude from the report PDF; verify),none defined in this pipeline,R/config.R outcome definition (no inflammation adjustment configured),65,original,ug/dL,R/config.R outcome definition,UNKNOWN,zn_gdl,zinc_def,FALSE,R/config.R and R/brinda_adjustment.R column maps,data/IPD/Malawi/Malawi_merged_dataset.rds,scripts/build_assay_lineage.R,"none (report); cut-offs by age, fasting status and time of draw",morning non-fasting < 65 ug/dL; afternoon non-fasting < 57 ug/dL,NA
