"code","item","block","group","dgl","vita"
824,"Chicken (vendor)","misc","meat",FALSE,FALSE
825,"Meat (vendor)","misc","meat",FALSE,FALSE
826,"Fish (vendor)","misc","fish",FALSE,FALSE
827,"Mandazi, doughnut (vendor)","misc","cereals",FALSE,FALSE
828,"Samosa (vendor)","misc","cereals",FALSE,FALSE
829,"Meal eaten at restaurant","misc","cereals",FALSE,FALSE
830,"Other (specify)","misc","misc",FALSE,FALSE
831,"Boiled sweet potatoes","misc","roots",FALSE,FALSE
832,"Rosted sweet potatoes","misc","roots",FALSE,FALSE
833,"Boiled groundnuts","misc","pulses_nuts",FALSE,FALSE
834,"Rosted groundnuts","misc","pulses_nuts",FALSE,FALSE
835,"Popcorn","misc","cereals",FALSE,FALSE
836,"Zikondamoyo/Nkate","misc","cereals",FALSE,FALSE
837,"Other(specify)","misc","misc",FALSE,FALSE
838,"Cassava - roasted (vendor)","misc","roots",FALSE,FALSE
901,"Tea","misc","misc",FALSE,FALSE
902,"Coffee","misc","misc",FALSE,FALSE
903,"Cocoa, millo","misc","misc",FALSE,FALSE
904,"Squash (Sobo drink concentrate)","misc","misc",FALSE,FALSE
905,"Fruit juice","misc","fruit",FALSE,FALSE
906,"Freezes (flavoured ice)","misc","misc",FALSE,FALSE
907,"Soft drinks (Coca-cola, Fanta, Sprite, etc.)","misc","misc",FALSE,FALSE
908,"Chibuku (commercial traditional-style beer)","misc","misc",FALSE,FALSE
909,"Bottled water","misc","misc",FALSE,FALSE
910,"Maheu","misc","misc",FALSE,FALSE
911,"Bottled / canned beer (Carlsberg, etc.)","misc","misc",FALSE,FALSE
912,"Thobwa","misc","misc",FALSE,FALSE
913,"Traditional beer (masese)","misc","misc",FALSE,FALSE
914,"Wine or commercial liquor","misc","misc",FALSE,FALSE
915,"Locally brewed liquor (kachasu)","misc","misc",FALSE,FALSE
916,"Other (specify)","misc","misc",FALSE,FALSE
5021,"Sun Dried fish (Large Variety)","fish","fish",FALSE,FALSE
5022,"Sun Dried fish (Medium Variety)","fish","fish",FALSE,FALSE
5023,"Sun Dried fish (Small Variety)","fish","fish",FALSE,FALSE
5031,"Fresh fish (Large Variety)","fish","fish",FALSE,FALSE
5032,"Fresh fish (Medium Variety)","fish","fish",FALSE,FALSE
5033,"Fresh fish (Small Variety)","fish","fish",FALSE,FALSE
5121,"Smoked fish (Large Variety)","fish","fish",FALSE,FALSE
5122,"Smoked fish (Medium Variety)","fish","fish",FALSE,FALSE
5123,"Smoked fish (Small Variety)","fish","fish",FALSE,FALSE
