"country","outcome","scheme","honest","auc","brier","auc_ci_lo","auc_ci_hi"
"Malawi","child_zinc","random CV + full-data preprocessing (optimistic)",FALSE,0.7021,0.2172,0.652,0.7437
"Malawi","child_zinc","region/spatial-block CV",TRUE,0.4815,0.2546,0.4191,0.5451
"Malawi","child_zinc","cluster-block CV",TRUE,0.4731,0.2752,0.4082,0.543
"Malawi","child_zinc","PRODUCTION cv_perf (leaky preprocessing, random CV)",FALSE,0.4336,0.2445,NA,NA
"Malawi","women_b12","random CV + full-data preprocessing (optimistic)",FALSE,0.7604,0.0265,0.6748,0.8355
"Malawi","women_b12","PRODUCTION cv_perf (leaky preprocessing, random CV)",FALSE,0.7453,0.0271,NA,NA
"Malawi","women_b12","region/spatial-block CV",TRUE,0.6554,0.0484,0.5464,0.7596
"Malawi","women_b12","cluster-block CV",TRUE,0.6243,0.0277,0.5103,0.7455
"Malawi","women_folate","random CV + full-data preprocessing (optimistic)",FALSE,0.7192,0.1576,0.6457,0.7842
"Malawi","women_folate","PRODUCTION cv_perf (leaky preprocessing, random CV)",FALSE,0.6781,0.1552,NA,NA
"Malawi","women_folate","cluster-block CV",TRUE,0.6181,0.164,0.5482,0.6884
"Malawi","women_folate","region/spatial-block CV",TRUE,0.5462,0.1783,0.469,0.6249
"Malawi","women_iron","random CV + full-data preprocessing (optimistic)",FALSE,0.6053,0.0885,0.5239,0.6761
"Malawi","women_iron","PRODUCTION cv_perf (leaky preprocessing, random CV)",FALSE,0.5543,0.0883,NA,NA
"Malawi","women_iron","cluster-block CV",TRUE,0.5461,0.0907,0.469,0.6152
"Malawi","women_iron","region/spatial-block CV",TRUE,0.5377,0.0915,0.4537,0.6148
"Malawi","women_vitA","PRODUCTION cv_perf (leaky preprocessing, random CV)",FALSE,0.7628,0.0135,NA,NA
"Malawi","women_vitA","cluster-block CV",TRUE,0.5694,0.014,0.4145,0.7188
"Malawi","women_vitA","random CV + full-data preprocessing (optimistic)",FALSE,0.5306,0.0137,0.3364,0.7336
"Malawi","women_vitA","region/spatial-block CV",TRUE,0.4834,0.0149,0.3307,0.6405
"Malawi","women_zinc","random CV + full-data preprocessing (optimistic)",FALSE,0.7057,0.2174,0.6495,0.7441
"Malawi","women_zinc","PRODUCTION cv_perf (leaky preprocessing, random CV)",FALSE,0.5226,0.2502,NA,NA
"Malawi","women_zinc","region/spatial-block CV",TRUE,0.5118,0.2546,0.4369,0.5842
"Malawi","women_zinc","cluster-block CV",TRUE,0.4867,0.2637,0.4283,0.554
"Sierra Leone","child_iron","cluster-block CV",TRUE,0.5488,0.0553,0.4304,0.6397
"Sierra Leone","child_iron","PRODUCTION cv_perf (leaky preprocessing, random CV)",FALSE,0.4972,0.0549,NA,NA
"Sierra Leone","child_iron","region/spatial-block CV",TRUE,0.4795,0.0569,0.3516,0.583
"Sierra Leone","child_iron","random CV + full-data preprocessing (optimistic)",FALSE,0.4326,0.0597,0.2554,0.5757
"Sierra Leone","child_vitA","region/spatial-block CV",TRUE,0.539,0.1201,0.4678,0.6065
"Sierra Leone","child_vitA","random CV + full-data preprocessing (optimistic)",FALSE,0.4929,0.1181,0.4023,0.5739
"Sierra Leone","child_vitA","PRODUCTION cv_perf (leaky preprocessing, random CV)",FALSE,0.4922,0.114,NA,NA
"Sierra Leone","child_vitA","cluster-block CV",TRUE,0.4312,0.1157,0.3667,0.5146
"Sierra Leone","women_b12","PRODUCTION cv_perf (leaky preprocessing, random CV)",FALSE,0.7518,0.0052,NA,NA
"Sierra Leone","women_b12","region/spatial-block CV",TRUE,0.5982,0.0052,0.2751,0.887
"Sierra Leone","women_b12","random CV + full-data preprocessing (optimistic)",FALSE,0.4223,0.0054,0.2648,0.8241
"Sierra Leone","women_b12","cluster-block CV",TRUE,0.1852,0.0054,0.1215,0.2561
"Sierra Leone","women_folate","random CV + full-data preprocessing (optimistic)",FALSE,0.66,0.1559,0.5808,0.7331
"Sierra Leone","women_folate","PRODUCTION cv_perf (leaky preprocessing, random CV)",FALSE,0.5467,0.1761,NA,NA
"Sierra Leone","women_folate","cluster-block CV",TRUE,0.5151,0.1843,0.433,0.5982
"Sierra Leone","women_folate","region/spatial-block CV",TRUE,0.4161,0.1787,0.3417,0.4911
"Sierra Leone","women_iron","PRODUCTION cv_perf (leaky preprocessing, random CV)",FALSE,0.6019,0.0846,NA,NA
"Sierra Leone","women_iron","random CV + full-data preprocessing (optimistic)",FALSE,0.5631,0.0859,0.4432,0.6647
"Sierra Leone","women_iron","cluster-block CV",TRUE,0.5339,0.0901,0.4501,0.6084
"Sierra Leone","women_iron","region/spatial-block CV",TRUE,0.5089,0.092,0.4411,0.5772
"Sierra Leone","women_vitA","random CV + full-data preprocessing (optimistic)",FALSE,0.5905,0.0187,0.3988,0.7557
"Sierra Leone","women_vitA","region/spatial-block CV",TRUE,0.4605,0.0179,0.307,0.6291
"Sierra Leone","women_vitA","PRODUCTION cv_perf (leaky preprocessing, random CV)",FALSE,0.436,0.0181,NA,NA
"Sierra Leone","women_vitA","cluster-block CV",TRUE,0.4055,0.0186,0.2456,0.5636
