"country","outcome","scheme","honest","auc","brier","auc_ci_lo","auc_ci_hi"
"Ghana","women_iron","random CV + full-data preprocessing (optimistic)",FALSE,0.5396,0.0799,0.4622,0.6157
"Ghana","women_vitA","PRODUCTION cv_perf (leaky preprocessing, random CV)",FALSE,0.7455,0.015,NA,NA
"Ghana","women_vitA","random CV + full-data preprocessing (optimistic)",FALSE,0.6059,0.0157,0.4458,0.7691
"Ghana","women_vitA","region/spatial-block CV",TRUE,0.5804,0.0152,0.4502,0.7392
"Ghana","women_vitA","cluster-block CV",TRUE,0.4275,0.0152,0.2569,0.6204
"Malawi","child_iron","PRODUCTION cv_perf (leaky preprocessing, random CV)",FALSE,0.5654,0.0874,NA,NA
"Malawi","child_iron","region/spatial-block CV",TRUE,0.5518,0.0878,0.4875,0.6229
"Malawi","child_iron","random CV + full-data preprocessing (optimistic)",FALSE,0.5394,0.0925,0.4508,0.6192
"Malawi","child_iron","cluster-block CV",TRUE,0.5139,0.0888,0.4488,0.5737
"Malawi","child_vitA","random CV + full-data preprocessing (optimistic)",FALSE,0.6113,0.0854,0.5095,0.68
"Malawi","child_vitA","PRODUCTION cv_perf (leaky preprocessing, random CV)",FALSE,0.5809,0.0848,NA,NA
"Malawi","child_vitA","region/spatial-block CV",TRUE,0.5525,0.1166,0.468,0.6294
"Malawi","child_vitA","cluster-block CV",TRUE,0.5188,0.0922,0.4325,0.6093
"Malawi","child_zinc","random CV + full-data preprocessing (optimistic)",FALSE,0.6781,0.2268,0.6231,0.7251
"Malawi","child_zinc","region/spatial-block CV",TRUE,0.5065,0.2581,0.4494,0.5635
"Malawi","child_zinc","cluster-block CV",TRUE,0.4886,0.2718,0.4323,0.5493
"Malawi","child_zinc","PRODUCTION cv_perf (leaky preprocessing, random CV)",FALSE,0.4336,0.2445,NA,NA
"Malawi","women_b12","PRODUCTION cv_perf (leaky preprocessing, random CV)",FALSE,0.7453,0.0271,NA,NA
"Malawi","women_b12","cluster-block CV",TRUE,0.6685,0.0278,0.5678,0.7697
"Malawi","women_b12","random CV + full-data preprocessing (optimistic)",FALSE,0.6365,0.0294,0.5451,0.7268
"Malawi","women_b12","region/spatial-block CV",TRUE,0.6159,0.056,0.5193,0.7205
"Malawi","women_folate","random CV + full-data preprocessing (optimistic)",FALSE,0.7115,0.1598,0.6423,0.7675
"Malawi","women_folate","PRODUCTION cv_perf (leaky preprocessing, random CV)",FALSE,0.6781,0.1552,NA,NA
"Malawi","women_folate","cluster-block CV",TRUE,0.6183,0.164,0.5566,0.6805
"Malawi","women_folate","region/spatial-block CV",TRUE,0.5601,0.1703,0.4912,0.6323
"Malawi","women_iron","PRODUCTION cv_perf (leaky preprocessing, random CV)",FALSE,0.5543,0.0883,NA,NA
"Malawi","women_iron","random CV + full-data preprocessing (optimistic)",FALSE,0.5486,0.09,0.4567,0.6371
"Malawi","women_iron","region/spatial-block CV",TRUE,0.5033,0.0903,0.4266,0.5726
"Malawi","women_iron","cluster-block CV",TRUE,0.5027,0.0907,0.4257,0.5881
"Malawi","women_vitA","PRODUCTION cv_perf (leaky preprocessing, random CV)",FALSE,0.7628,0.0135,NA,NA
"Malawi","women_vitA","cluster-block CV",TRUE,0.479,0.0138,0.3213,0.6155
"Malawi","women_vitA","region/spatial-block CV",TRUE,0.4594,0.0141,0.2644,0.6721
"Malawi","women_vitA","random CV + full-data preprocessing (optimistic)",FALSE,0.4319,0.0152,0.2664,0.6467
"Malawi","women_zinc","random CV + full-data preprocessing (optimistic)",FALSE,0.6976,0.221,0.644,0.7385
"Malawi","women_zinc","PRODUCTION cv_perf (leaky preprocessing, random CV)",FALSE,0.5226,0.2502,NA,NA
"Malawi","women_zinc","cluster-block CV",TRUE,0.516,0.2566,0.4527,0.5831
"Malawi","women_zinc","region/spatial-block CV",TRUE,0.481,0.2526,0.4123,0.549
"Sierra Leone","child_iron","cluster-block CV",TRUE,0.5371,0.0552,0.4351,0.6286
"Sierra Leone","child_iron","region/spatial-block CV",TRUE,0.5136,0.0559,0.3925,0.6394
"Sierra Leone","child_iron","PRODUCTION cv_perf (leaky preprocessing, random CV)",FALSE,0.4972,0.0549,NA,NA
"Sierra Leone","child_iron","random CV + full-data preprocessing (optimistic)",FALSE,0.4179,0.0581,0.249,0.5496
"Sierra Leone","child_vitA","region/spatial-block CV",TRUE,0.5276,0.1131,0.46,0.5978
"Sierra Leone","child_vitA","PRODUCTION cv_perf (leaky preprocessing, random CV)",FALSE,0.4922,0.114,NA,NA
"Sierra Leone","child_vitA","random CV + full-data preprocessing (optimistic)",FALSE,0.4748,0.1209,0.3692,0.5665
"Sierra Leone","child_vitA","cluster-block CV",TRUE,0.4597,0.1159,0.3967,0.5309
"Sierra Leone","women_b12","PRODUCTION cv_perf (leaky preprocessing, random CV)",FALSE,0.7518,0.0052,NA,NA
"Sierra Leone","women_b12","region/spatial-block CV",TRUE,0.5733,0.0052,0.2748,0.8502
"Sierra Leone","women_b12","random CV + full-data preprocessing (optimistic)",FALSE,0.3024,0.0053,0.1941,0.5324
"Sierra Leone","women_b12","cluster-block CV",TRUE,0.1688,0.0053,0.1065,0.2367
"Sierra Leone","women_folate","random CV + full-data preprocessing (optimistic)",FALSE,0.5853,0.1629,0.5229,0.6446
"Sierra Leone","women_folate","PRODUCTION cv_perf (leaky preprocessing, random CV)",FALSE,0.5467,0.1761,NA,NA
"Sierra Leone","women_folate","cluster-block CV",TRUE,0.5248,0.1709,0.4487,0.5871
"Sierra Leone","women_folate","region/spatial-block CV",TRUE,0.4578,0.1699,0.4012,0.5154
"Sierra Leone","women_iron","PRODUCTION cv_perf (leaky preprocessing, random CV)",FALSE,0.6019,0.0846,NA,NA
"Sierra Leone","women_iron","cluster-block CV",TRUE,0.5512,0.0863,0.4667,0.6301
"Sierra Leone","women_iron","random CV + full-data preprocessing (optimistic)",FALSE,0.5293,0.086,0.4385,0.6106
"Sierra Leone","women_iron","region/spatial-block CV",TRUE,0.5054,0.0866,0.4049,0.6032
"Sierra Leone","women_vitA","random CV + full-data preprocessing (optimistic)",FALSE,0.5932,0.0182,0.3911,0.7592
"Sierra Leone","women_vitA","PRODUCTION cv_perf (leaky preprocessing, random CV)",FALSE,0.436,0.0181,NA,NA
"Sierra Leone","women_vitA","region/spatial-block CV",TRUE,0.3997,0.0179,0.279,0.5393
"Sierra Leone","women_vitA","cluster-block CV",TRUE,0.2744,0.0186,0.1691,0.4011
