"Admin2","country","outcome","support_distance","out_of_support","surveyed","n_svy","small_sample","pi_width","wide_interval","trust"
"Kiang East","Gambia","women_vitA",0.5,FALSE,TRUE,21,FALSE,0.0784308121233772,FALSE,"OK to use"
"Fulladu West","Gambia","women_vitA",0.544,FALSE,TRUE,147,FALSE,0.084043949718493,FALSE,"OK to use"
"Lower Saloum","Gambia","women_vitA",0.504,FALSE,TRUE,29,FALSE,0.109850615186619,FALSE,"OK to use"
"Niamina Dankunku","Gambia","women_vitA",0.564,FALSE,TRUE,20,FALSE,0.119948755313673,FALSE,"OK to use"
"Niamina East","Gambia","women_vitA",0.561,FALSE,TRUE,23,FALSE,0.130434782608696,TRUE,"Use with caution"
"Niani","Gambia","women_vitA",0.537,FALSE,TRUE,45,FALSE,0.131518592962987,TRUE,"Use with caution"
"Nianija","Gambia","women_vitA",0.477,FALSE,TRUE,21,FALSE,0.131518592962987,TRUE,"Use with caution"
"Sami","Gambia","women_vitA",0.57,FALSE,TRUE,19,FALSE,0.0989374664656242,FALSE,"OK to use"
"Upper Saloum","Gambia","women_vitA",0.561,FALSE,TRUE,14,TRUE,0.122337171954074,FALSE,"Use with caution"
"Central Baddibu","Gambia","women_vitA",0.449,FALSE,TRUE,33,FALSE,0.0834944502881417,FALSE,"OK to use"
"Jokadu","Gambia","women_vitA",0.358,FALSE,TRUE,12,TRUE,0.0851902061873416,FALSE,"Use with caution"
"Lower Baddibu","Gambia","women_vitA",0.393,FALSE,TRUE,23,FALSE,0.0831609844260722,FALSE,"OK to use"
"Lower Nuimi","Gambia","women_vitA",0.613,FALSE,TRUE,29,FALSE,0.0730140414772592,FALSE,"OK to use"
"Upper Baddibu","Gambia","women_vitA",0.433,FALSE,TRUE,38,FALSE,0.0986427439466827,FALSE,"OK to use"
"Upper Nuimi","Gambia","women_vitA",0.611,FALSE,TRUE,17,FALSE,0.0764371893287885,FALSE,"OK to use"
"Fulladu East","Gambia","women_vitA",0.519,FALSE,TRUE,153,FALSE,0.101697959378348,FALSE,"OK to use"
"Kantora","Gambia","women_vitA",0.541,FALSE,TRUE,17,FALSE,0.117137615527853,FALSE,"OK to use"
"Sandu","Gambia","women_vitA",0.575,FALSE,TRUE,15,FALSE,0.106572387147163,FALSE,"OK to use"
"Wuli","Gambia","women_vitA",0.567,FALSE,TRUE,11,TRUE,0.113033108207137,FALSE,"Use with caution"
"Foni Bintang Karanai","Gambia","women_vitA",0.456,FALSE,TRUE,20,FALSE,0.0678691717086058,FALSE,"OK to use"
"Foni Brefet","Gambia","women_vitA",0.608,FALSE,TRUE,17,FALSE,0.0672857592655026,FALSE,"OK to use"
"Kombo Central","Gambia","women_vitA",0.907,FALSE,TRUE,42,FALSE,0.0770005303736119,FALSE,"OK to use"
"Kombo East","Gambia","women_vitA",0.664,FALSE,TRUE,28,FALSE,0.0764990948890427,FALSE,"OK to use"
"Kombo Saint Mary","Gambia","women_vitA",1.64,FALSE,TRUE,95,FALSE,0.0818240303674576,FALSE,"OK to use"
"Kombo South","Gambia","women_vitA",0.944,FALSE,TRUE,29,FALSE,0.0886021042023094,FALSE,"OK to use"
"Niamina West","Gambia","women_vitA",0.58,FALSE,FALSE,NA,FALSE,NA,FALSE,"OK to use"
"Foni Jarrol","Gambia","women_vitA",0.463,FALSE,FALSE,NA,FALSE,NA,FALSE,"OK to use"
"Jarra Central","Gambia","women_vitA",0.526,FALSE,FALSE,NA,FALSE,NA,FALSE,"OK to use"
"Foni Bondali","Gambia","women_vitA",0.441,FALSE,FALSE,NA,FALSE,NA,FALSE,"OK to use"
"Janjanbureh","Gambia","women_vitA",0.521,FALSE,FALSE,NA,FALSE,NA,FALSE,"OK to use"
"Foni Kansala","Gambia","women_vitA",0.425,FALSE,FALSE,NA,FALSE,NA,FALSE,"OK to use"
"Kiang West","Gambia","women_vitA",0.371,FALSE,FALSE,NA,FALSE,NA,FALSE,"OK to use"
"Banjul","Gambia","child_iron",3.347,TRUE,TRUE,96,FALSE,0.785198888843156,FALSE,"Do not rely"
"Kanifing","Gambia","child_iron",3.468,TRUE,TRUE,72,FALSE,0.807461001355785,FALSE,"Do not rely"
"Jarra East","Gambia","child_iron",0.572,FALSE,TRUE,52,FALSE,0.851234239377452,FALSE,"OK to use"
"Jarra West","Gambia","child_iron",0.475,FALSE,TRUE,35,FALSE,0.810381465692097,FALSE,"OK to use"
"Kiang Central","Gambia","child_iron",0.477,FALSE,TRUE,24,FALSE,0.882737132811769,FALSE,"OK to use"
"Kiang East","Gambia","child_iron",0.5,FALSE,TRUE,22,FALSE,0.925230521574503,FALSE,"OK to use"
"Fulladu West","Gambia","child_iron",0.544,FALSE,TRUE,112,FALSE,0.922401992090614,FALSE,"OK to use"
"Lower Saloum","Gambia","child_iron",0.504,FALSE,TRUE,39,FALSE,0.956206214686097,FALSE,"OK to use"
"Niamina Dankunku","Gambia","child_iron",0.564,FALSE,TRUE,34,FALSE,0.974571026712168,FALSE,"OK to use"
"Niamina East","Gambia","child_iron",0.561,FALSE,TRUE,28,FALSE,0.855573388663359,FALSE,"OK to use"
"Niani","Gambia","child_iron",0.537,FALSE,TRUE,44,FALSE,0.974571026712168,FALSE,"OK to use"
"Nianija","Gambia","child_iron",0.477,FALSE,TRUE,22,FALSE,0.974571026712168,FALSE,"OK to use"
"Sami","Gambia","child_iron",0.57,FALSE,TRUE,18,FALSE,0.944444444444444,FALSE,"OK to use"
"Upper Saloum","Gambia","child_iron",0.561,FALSE,TRUE,9,TRUE,0.967646219506448,FALSE,"Use with caution"
"Central Baddibu","Gambia","child_iron",0.449,FALSE,TRUE,14,TRUE,0.937271786770111,FALSE,"Use with caution"
"Jokadu","Gambia","child_iron",0.358,FALSE,TRUE,14,TRUE,0.918308842230579,FALSE,"Use with caution"
"Lower Baddibu","Gambia","child_iron",0.393,FALSE,TRUE,9,TRUE,0.912365051195806,FALSE,"Use with caution"
"Lower Nuimi","Gambia","child_iron",0.613,FALSE,TRUE,13,TRUE,0.867794344208402,FALSE,"Use with caution"
"Upper Baddibu","Gambia","child_iron",0.433,FALSE,TRUE,34,FALSE,0.926551654384834,FALSE,"OK to use"
"Upper Nuimi","Gambia","child_iron",0.611,FALSE,TRUE,9,TRUE,0.896071642246435,FALSE,"Use with caution"
"Fulladu East","Gambia","child_iron",0.519,FALSE,TRUE,124,FALSE,0.93295720568598,FALSE,"OK to use"
"Kantora","Gambia","child_iron",0.541,FALSE,TRUE,15,FALSE,0.974571026712168,FALSE,"OK to use"
"Sandu","Gambia","child_iron",0.575,FALSE,TRUE,16,FALSE,0.956304067806296,FALSE,"OK to use"
"Wuli","Gambia","child_iron",0.567,FALSE,TRUE,9,TRUE,0.974571026712168,FALSE,"Use with caution"
"Foni Bintang Karanai","Gambia","child_iron",0.456,FALSE,TRUE,17,FALSE,0.791816963464509,FALSE,"OK to use"
"Foni Brefet","Gambia","child_iron",0.608,FALSE,TRUE,11,TRUE,0.712232226676985,FALSE,"Use with caution"
"Kombo Central","Gambia","child_iron",0.907,FALSE,TRUE,26,FALSE,0.792348440138992,FALSE,"OK to use"
"Kombo East","Gambia","child_iron",0.664,FALSE,TRUE,20,FALSE,0.818437307115442,FALSE,"OK to use"
"Kombo Saint Mary","Gambia","child_iron",1.64,FALSE,TRUE,56,FALSE,0.911826673973867,FALSE,"OK to use"
"Kombo South","Gambia","child_iron",0.944,FALSE,TRUE,19,FALSE,0.852480814345766,FALSE,"OK to use"
"Niamina West","Gambia","child_iron",0.58,FALSE,FALSE,NA,FALSE,NA,FALSE,"OK to use"
"Foni Jarrol","Gambia","child_iron",0.463,FALSE,FALSE,NA,FALSE,NA,FALSE,"OK to use"
"Jarra Central","Gambia","child_iron",0.526,FALSE,FALSE,NA,FALSE,NA,FALSE,"OK to use"
"Foni Bondali","Gambia","child_iron",0.441,FALSE,FALSE,NA,FALSE,NA,FALSE,"OK to use"
"Janjanbureh","Gambia","child_iron",0.521,FALSE,FALSE,NA,FALSE,NA,FALSE,"OK to use"
"Foni Kansala","Gambia","child_iron",0.425,FALSE,FALSE,NA,FALSE,NA,FALSE,"OK to use"
"Kiang West","Gambia","child_iron",0.371,FALSE,FALSE,NA,FALSE,NA,FALSE,"OK to use"
"Banjul","Gambia","women_iron",3.347,TRUE,TRUE,225,FALSE,0.567898460673454,FALSE,"Do not rely"
"Kanifing","Gambia","women_iron",3.468,TRUE,TRUE,139,FALSE,0.559294554718096,FALSE,"Do not rely"
"Jarra East","Gambia","women_iron",0.572,FALSE,TRUE,43,FALSE,0.743445692883895,FALSE,"OK to use"
"Jarra West","Gambia","women_iron",0.475,FALSE,TRUE,61,FALSE,0.743445692883895,FALSE,"OK to use"
"Kiang Central","Gambia","women_iron",0.477,FALSE,TRUE,20,FALSE,0.582401057120158,FALSE,"OK to use"
"Kiang East","Gambia","women_iron",0.5,FALSE,TRUE,21,FALSE,0.701121867303757,FALSE,"OK to use"
"Fulladu West","Gambia","women_iron",0.544,FALSE,TRUE,147,FALSE,0.743445692883895,FALSE,"OK to use"
"Lower Saloum","Gambia","women_iron",0.504,FALSE,TRUE,29,FALSE,0.743445692883895,FALSE,"OK to use"
"Niamina Dankunku","Gambia","women_iron",0.564,FALSE,TRUE,20,FALSE,0.743445692883895,FALSE,"OK to use"
"Niamina East","Gambia","women_iron",0.561,FALSE,TRUE,23,FALSE,0.743445692883895,FALSE,"OK to use"
"Niani","Gambia","women_iron",0.537,FALSE,TRUE,45,FALSE,0.743445692883895,FALSE,"OK to use"
"Nianija","Gambia","women_iron",0.477,FALSE,TRUE,21,FALSE,0.743445692883895,FALSE,"OK to use"
"Sami","Gambia","women_iron",0.57,FALSE,TRUE,19,FALSE,0.743445692883895,FALSE,"OK to use"
"Upper Saloum","Gambia","women_iron",0.561,FALSE,TRUE,14,TRUE,0.743445692883895,FALSE,"Use with caution"
"Central Baddibu","Gambia","women_iron",0.449,FALSE,TRUE,33,FALSE,0.743445692883895,FALSE,"OK to use"
"Jokadu","Gambia","women_iron",0.358,FALSE,TRUE,12,TRUE,0.701846155786925,FALSE,"Use with caution"
"Lower Baddibu","Gambia","women_iron",0.393,FALSE,TRUE,22,FALSE,0.570586482805584,FALSE,"OK to use"
"Lower Nuimi","Gambia","women_iron",0.613,FALSE,TRUE,29,FALSE,0.629837500033898,FALSE,"OK to use"
"Upper Baddibu","Gambia","women_iron",0.433,FALSE,TRUE,37,FALSE,0.682882849944168,FALSE,"OK to use"
"Upper Nuimi","Gambia","women_iron",0.611,FALSE,TRUE,17,FALSE,0.612814973810847,FALSE,"OK to use"
"Fulladu East","Gambia","women_iron",0.519,FALSE,TRUE,152,FALSE,0.674613561578604,FALSE,"OK to use"
"Kantora","Gambia","women_iron",0.541,FALSE,TRUE,17,FALSE,0.743445692883895,FALSE,"OK to use"
"Sandu","Gambia","women_iron",0.575,FALSE,TRUE,15,FALSE,0.743445692883895,FALSE,"OK to use"
"Wuli","Gambia","women_iron",0.567,FALSE,TRUE,11,TRUE,0.743445692883895,FALSE,"Use with caution"
"Foni Bintang Karanai","Gambia","women_iron",0.456,FALSE,TRUE,20,FALSE,0.551093917204437,FALSE,"OK to use"
"Foni Brefet","Gambia","women_iron",0.608,FALSE,TRUE,17,FALSE,0.551202619015572,FALSE,"OK to use"
"Kombo Central","Gambia","women_iron",0.907,FALSE,TRUE,41,FALSE,0.58928961428688,FALSE,"OK to use"
"Kombo East","Gambia","women_iron",0.664,FALSE,TRUE,28,FALSE,0.648085640786615,FALSE,"OK to use"
"Kombo Saint Mary","Gambia","women_iron",1.64,FALSE,TRUE,95,FALSE,0.593554800186465,FALSE,"OK to use"
"Kombo South","Gambia","women_iron",0.944,FALSE,TRUE,29,FALSE,0.585688994345351,FALSE,"OK to use"
"Niamina West","Gambia","women_iron",0.58,FALSE,FALSE,NA,FALSE,NA,FALSE,"OK to use"
"Foni Jarrol","Gambia","women_iron",0.463,FALSE,FALSE,NA,FALSE,NA,FALSE,"OK to use"
"Jarra Central","Gambia","women_iron",0.526,FALSE,FALSE,NA,FALSE,NA,FALSE,"OK to use"
"Foni Bondali","Gambia","women_iron",0.441,FALSE,FALSE,NA,FALSE,NA,FALSE,"OK to use"
"Janjanbureh","Gambia","women_iron",0.521,FALSE,FALSE,NA,FALSE,NA,FALSE,"OK to use"
"Foni Kansala","Gambia","women_iron",0.425,FALSE,FALSE,NA,FALSE,NA,FALSE,"OK to use"
"Kiang West","Gambia","women_iron",0.371,FALSE,FALSE,NA,FALSE,NA,FALSE,"OK to use"
"Asunafo North","Ghana","child_vitA",0.311,FALSE,TRUE,19,FALSE,0.288027688857374,FALSE,"OK to use"
"Tano North","Ghana","child_vitA",0.282,FALSE,TRUE,43,FALSE,0.28480630534797,FALSE,"OK to use"
"Adansi Asokwa","Ghana","child_vitA",0.456,FALSE,TRUE,16,FALSE,0.261186400796086,FALSE,"OK to use"
"Asante-Akim South","Ghana","child_vitA",0.226,FALSE,TRUE,26,FALSE,0.277335799407875,FALSE,"OK to use"
"Asokore-Mampong","Ghana","child_vitA",0.385,FALSE,TRUE,18,FALSE,0.255992311781894,FALSE,"OK to use"
"Asokwa","Ghana","child_vitA",0.309,FALSE,TRUE,15,FALSE,0.272429716853989,FALSE,"OK to use"
"Atwima-Mponua","Ghana","child_vitA",0.317,FALSE,TRUE,32,FALSE,0.265561442555596,FALSE,"OK to use"
"Atwima-Nwabiagya South","Ghana","child_vitA",0.289,FALSE,TRUE,11,TRUE,0.274671661638143,FALSE,"Use with caution"
"Bekwai","Ghana","child_vitA",0.216,FALSE,TRUE,8,TRUE,0.271929576241205,FALSE,"Use with caution"
"Kumasi","Ghana","child_vitA",1.612,TRUE,TRUE,24,FALSE,0.258291479868536,FALSE,"Do not rely"
"Kwadaso","Ghana","child_vitA",0.721,FALSE,TRUE,11,TRUE,0.267189166403087,FALSE,"Use with caution"
"Obuasi","Ghana","child_vitA",0.406,FALSE,TRUE,17,FALSE,0.249440633440939,FALSE,"OK to use"
"Sekyere Kumawu","Ghana","child_vitA",0.295,FALSE,TRUE,12,TRUE,0.264591589934792,FALSE,"Use with caution"
"Sekyere South","Ghana","child_vitA",0.285,FALSE,TRUE,14,TRUE,0.255303577890285,FALSE,"Use with caution"
"Dormaa West","Ghana","child_vitA",0.277,FALSE,TRUE,16,FALSE,0.287604897394251,FALSE,"OK to use"
"Sunyani West","Ghana","child_vitA",0.429,FALSE,TRUE,6,TRUE,0.322584756795752,FALSE,"Use with caution"
"Wenchi","Ghana","child_vitA",0.379,FALSE,TRUE,11,TRUE,0.306189660988152,FALSE,"Use with caution"
"Kintampo North","Ghana","child_vitA",0.473,FALSE,TRUE,19,FALSE,0.289634801741989,FALSE,"OK to use"
"Sene West","Ghana","child_vitA",0.322,FALSE,TRUE,14,TRUE,0.297890919024581,FALSE,"Use with caution"
"Techiman","Ghana","child_vitA",0.313,FALSE,TRUE,13,TRUE,0.281535602927238,FALSE,"Use with caution"
"Agona West","Ghana","child_vitA",1.026,FALSE,TRUE,21,FALSE,0.266355086827307,FALSE,"Use with caution"
"Asikuma-Odoben-Brakwa","Ghana","child_vitA",0.506,FALSE,TRUE,19,FALSE,0.296479077080248,FALSE,"OK to use"
"Awutu Senya West","Ghana","child_vitA",0.436,FALSE,TRUE,12,TRUE,0.307354005597754,FALSE,"Use with caution"
"Mfantseman","Ghana","child_vitA",1.493,TRUE,TRUE,6,TRUE,0.304419939389671,FALSE,"Do not rely"
"Twifo-Atti-Morkwa","Ghana","child_vitA",0.493,FALSE,TRUE,8,TRUE,0.278858068650494,FALSE,"Use with caution"
"Twifo-Hemang-Lower Denkyira","Ghana","child_vitA",0.511,FALSE,TRUE,6,TRUE,0.260615693596968,FALSE,"Use with caution"
"Abuakwa South","Ghana","child_vitA",0.479,FALSE,TRUE,18,FALSE,0.270830562633379,FALSE,"OK to use"
"Akwapem North","Ghana","child_vitA",0.413,FALSE,TRUE,23,FALSE,0.319979972926157,FALSE,"OK to use"
"Atiwa East","Ghana","child_vitA",0.422,FALSE,TRUE,10,TRUE,0.292194130003984,FALSE,"Use with caution"
"Denkyembour","Ghana","child_vitA",0.438,FALSE,TRUE,14,TRUE,0.274018330340594,FALSE,"Use with caution"
"Kwahu Afram Plains North","Ghana","child_vitA",0.896,FALSE,TRUE,45,FALSE,0.314533253683599,FALSE,"OK to use"
"Ablekuma Central","Ghana","child_vitA",3.136,TRUE,TRUE,6,TRUE,0.310356048806208,FALSE,"Do not rely"
"Ablekuma North","Ghana","child_vitA",2.039,TRUE,TRUE,10,TRUE,0.289504837976571,FALSE,"Do not rely"
"Ashaiman","Ghana","child_vitA",1.093,FALSE,TRUE,5,TRUE,0.285389921085086,FALSE,"Use with caution"
"Ayawaso West","Ghana","child_vitA",0.849,FALSE,TRUE,2,TRUE,0.269983823304161,FALSE,"Use with caution"
"Ga East","Ghana","child_vitA",0.435,FALSE,TRUE,6,TRUE,0.269988181298036,FALSE,"Use with caution"
"La-Dade-Kotopon","Ghana","child_vitA",1.045,FALSE,TRUE,13,TRUE,0.306936472588535,FALSE,"Use with caution"
"Tema West","Ghana","child_vitA",0.837,FALSE,TRUE,10,TRUE,0.292154044216936,FALSE,"Use with caution"
"Weija Gbawe","Ghana","child_vitA",0.417,FALSE,TRUE,47,FALSE,0.27877922102513,FALSE,"OK to use"
"Chereponi","Ghana","child_vitA",0.595,FALSE,TRUE,12,TRUE,0.341953891880954,FALSE,"Use with caution"
"West Mamprusi","Ghana","child_vitA",0.613,FALSE,TRUE,23,FALSE,0.341953891880954,FALSE,"OK to use"
"Yunyoo-Nasuan","Ghana","child_vitA",0.608,FALSE,TRUE,10,TRUE,0.341953891880954,FALSE,"Use with caution"
"Gushegu","Ghana","child_vitA",0.576,FALSE,TRUE,10,TRUE,0.341953891880954,FALSE,"Use with caution"
"Kpandai","Ghana","child_vitA",0.363,FALSE,TRUE,3,TRUE,0.341953891880954,FALSE,"Use with caution"
"Nanumba South","Ghana","child_vitA",0.464,FALSE,TRUE,11,TRUE,0.341953891880954,FALSE,"Use with caution"
"Sagnerigu","Ghana","child_vitA",0.55,FALSE,TRUE,20,FALSE,0.341953891880954,FALSE,"OK to use"
"Savelugu","Ghana","child_vitA",0.592,FALSE,TRUE,17,FALSE,0.341953891880954,FALSE,"OK to use"
"Tamale","Ghana","child_vitA",0.501,FALSE,TRUE,25,FALSE,0.341953891880954,FALSE,"OK to use"
"Tatale Sanguli","Ghana","child_vitA",0.476,FALSE,TRUE,25,FALSE,0.341953891880954,FALSE,"OK to use"
"Tolon","Ghana","child_vitA",0.586,FALSE,TRUE,32,FALSE,0.341953891880954,FALSE,"OK to use"
"Nkwanta South","Ghana","child_vitA",0.307,FALSE,TRUE,14,TRUE,0.341953891880954,FALSE,"Use with caution"
"Bole","Ghana","child_vitA",0.521,FALSE,TRUE,4,TRUE,0.333595949157116,FALSE,"Use with caution"
"Central Gonja","Ghana","child_vitA",0.507,FALSE,TRUE,30,FALSE,0.336985501132221,FALSE,"OK to use"
"North East Gonja","Ghana","child_vitA",0.363,FALSE,TRUE,11,TRUE,0.338856609685958,FALSE,"Use with caution"
"Sawla-Tuna-Kalba","Ghana","child_vitA",0.58,FALSE,TRUE,18,FALSE,0.341953891880954,FALSE,"OK to use"
"Bawku West","Ghana","child_vitA",0.635,FALSE,TRUE,9,TRUE,0.341953891880954,FALSE,"Use with caution"
"Binduri","Ghana","child_vitA",0.65,FALSE,TRUE,30,FALSE,0.341953891880954,FALSE,"OK to use"
"Builsa South","Ghana","child_vitA",0.625,FALSE,TRUE,7,TRUE,0.341953891880954,FALSE,"Use with caution"
"Kasena Nankana East","Ghana","child_vitA",0.621,FALSE,TRUE,22,FALSE,0.341953891880954,FALSE,"OK to use"
"Talensi","Ghana","child_vitA",0.618,FALSE,TRUE,13,TRUE,0.341953891880954,FALSE,"Use with caution"
"Jirapa","Ghana","child_vitA",0.654,FALSE,TRUE,9,TRUE,0.341953891880954,FALSE,"Use with caution"
"Lambussie-Karni","Ghana","child_vitA",0.661,FALSE,TRUE,14,TRUE,0.341953891880954,FALSE,"Use with caution"
"Sissala East","Ghana","child_vitA",0.635,FALSE,TRUE,17,FALSE,0.341953891880954,FALSE,"OK to use"
"Wa East","Ghana","child_vitA",0.61,FALSE,TRUE,14,TRUE,0.341953891880954,FALSE,"Use with caution"
"Wa Municipal","Ghana","child_vitA",0.604,FALSE,TRUE,16,FALSE,0.336322985096303,FALSE,"OK to use"
"Afadzato South","Ghana","child_vitA",0.927,FALSE,TRUE,23,FALSE,0.336991072547665,FALSE,"OK to use"
"Akatsi South","Ghana","child_vitA",0.458,FALSE,TRUE,8,TRUE,0.284069596089737,FALSE,"Use with caution"
"Ho Municipal","Ghana","child_vitA",0.929,FALSE,TRUE,1,TRUE,0.277179487369404,FALSE,"Use with caution"
"South Tongu","Ghana","child_vitA",0.499,FALSE,TRUE,8,TRUE,0.341953891880954,FALSE,"Use with caution"
"Effia Kwesimintsim","Ghana","child_vitA",0.389,FALSE,TRUE,7,TRUE,0.282034805024353,FALSE,"Use with caution"
"Ellembelle","Ghana","child_vitA",0.504,FALSE,TRUE,18,FALSE,0.261663914422597,FALSE,"OK to use"
"Jomoro","Ghana","child_vitA",0.463,FALSE,TRUE,8,TRUE,0.265109723526011,FALSE,"Use with caution"
"Mpohor","Ghana","child_vitA",0.49,FALSE,TRUE,13,TRUE,0.281884605015455,FALSE,"Use with caution"
"Prestea-Huni Valley","Ghana","child_vitA",0.439,FALSE,TRUE,18,FALSE,0.288460411873444,FALSE,"OK to use"
"Sefwi-Akontombra","Ghana","child_vitA",0.338,FALSE,TRUE,19,FALSE,0.288598045677809,FALSE,"OK to use"
"Tano South","Ghana","child_vitA",0.295,FALSE,FALSE,NA,FALSE,NA,FALSE,"OK to use"
"Adansi Akrofuom","Ghana","child_vitA",0.483,FALSE,FALSE,NA,FALSE,NA,FALSE,"OK to use"
"Gomoa West","Ghana","child_vitA",0.559,FALSE,FALSE,NA,FALSE,NA,FALSE,"OK to use"
"Adansi North","Ghana","child_vitA",0.422,FALSE,FALSE,NA,FALSE,NA,FALSE,"OK to use"
"Adansi South","Ghana","child_vitA",0.465,FALSE,FALSE,NA,FALSE,NA,FALSE,"OK to use"
"Afigya-Kwabre North","Ghana","child_vitA",0.285,FALSE,FALSE,NA,FALSE,NA,FALSE,"OK to use"
"Afigya-Kwabre South","Ghana","child_vitA",0.3,FALSE,FALSE,NA,FALSE,NA,FALSE,"OK to use"
"Ahafo-Ano North","Ghana","child_vitA",0.281,FALSE,FALSE,NA,FALSE,NA,FALSE,"OK to use"
